"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"6 ";"50,0 ";"22,0 ";"3,0 ";"BEL-06-45∞-DN 05 ";"24,9 ";"BEL ";"358 "
"06 ";"1/4'' ";"6 ";"51,0 ";"21,0 ";"4,0 ";"BEL-06-45∞-DN 06 ";"20 ";"BEL ";"359 "
"06 ";"1/4'' ";"8 ";"60,0 ";"22,0 ";"4,0 ";"BEL-08-45∞-DN 06 ";"19,5 ";"BEL ";"360 "
"06 ";"1/4'' ";"10 ";"65,0 ";"22,5 ";"4,0 ";"BEL-10-45∞-DN 06 ";"20 ";"BEL ";"361 "
"08 ";"5/16'' ";"10 ";"64,5 ";"25,0 ";"5,5 ";"BEL-10-45∞-DN 08 ";"20,5 ";"BEL ";"362 "
"10 ";"3/8'' ";"10 ";"64,0 ";"24,5 ";"7,0 ";"BEL-10-45∞-DN 10 ";"20,5 ";"BEL ";"363 "
"08 ";"5/16'' ";"12 ";"59,0 ";"24,0 ";"5,5 ";"BEL-12-45∞-DN 08 ";"20,5 ";"BEL ";"364 "
"12 ";"1/2'' ";"12 ";"";"";"9,5 ";"BEL-12-45∞-DN 12 ";"";"BEL ";"12294 "
"10 ";"3/8'' ";"12 ";"59,0 ";"24,5 ";"7,0 ";"BEL-12-45∞-DN 10 ";"20,5 ";"BEL ";"365 "
"12 ";"1/2'' ";"15 ";"69,0 ";"27,5 ";"9,5 ";"BEL-15-45∞-DN 12 ";"23,8 ";"BEL ";"366 "
"16 ";"5/8'' ";"18 ";"73,0 ";"34,0 ";"12,5 ";"BEL-18-45∞-DN 16 ";"28,5 ";"BEL ";"367 "
"19 ";"3/4'' ";"22 ";"92,0 ";"41,5 ";"14,5 ";"BEL-22-45∞-DN 19 ";"36,5 ";"BEL ";"368 "
"25 ";"1'' ";"28 ";"108,0 ";"47,0 ";"20,0 ";"BEL-28-45∞-DN 25 ";"52,5 ";"BEL ";"369 "
"31 ";"1 1/4'' ";"35 ";"144,0 ";"68,0 ";"25,5 ";"BEL-35-45∞-DN 31 ";"79,8 ";"BEL ";"370 "
"38 ";"1 1/2'' ";"42 ";"159,0 ";"73,5 ";"31,5 ";"BEL-42-45∞-DN 38 ";"130 ";"BEL ";"371 "
"05 ";"3/16'' ";"6 ";"50,0 ";"22,0 ";"3,0 ";"BES-06-45∞-DN 05 ";"24,9 ";"BES ";"372 "
"06 ";"1/4'' ";"6 ";"51,0 ";"21,0 ";"4,0 ";"BES-06-45∞-DN 06 ";"20 ";"BES ";"373 "
"06 ";"1/4'' ";"8 ";"60,0 ";"22,0 ";"4,0 ";"BES-08-45∞-DN 06 ";"19,5 ";"BES ";"374 "
"06 ";"1/4'' ";"10 ";"65,0 ";"22,5 ";"4,0 ";"BES-10-45∞-DN 06 ";"20 ";"BES ";"375 "
"08 ";"5/16'' ";"10 ";"64,5 ";"25,0 ";"5,5 ";"BES-10-45∞-DN 08 ";"20,5 ";"BES ";"376 "
"10 ";"3/8'' ";"10 ";"64,5 ";"25,0 ";"7,0 ";"BES-10-45∞-DN 10 ";"20,5 ";"BES ";"377 "
"08 ";"5/16'' ";"12 ";"59,0 ";"24,0 ";"5,5 ";"BES-12-45∞-DN 08 ";"20,5 ";"BES ";"378 "
"10 ";"3/8'' ";"12 ";"48,0 ";"45,0 ";"7,0 ";"BES-12-45∞-DN 10 ";"20,5 ";"BES ";"379 "
"12 ";"1/2'' ";"12 ";"";"";"9,5 ";"BES-12-45∞-DN 12 ";"";"BES ";"12295 "
"10 ";"3/8'' ";"14 ";"";"";"7,0 ";"BES-14-45∞-DN 10 ";"22,5 ";"BES ";"380 "
"12 ";"1/2'' ";"16 ";"78,0 ";"32,0 ";"9,5 ";"BES-16-45∞-DN 12 ";"23 ";"BES ";"381 "
"16 ";"5/8'' ";"20 ";"71,5 ";"31,0 ";"12,5 ";"BES-20-45∞-DN 16 ";"31 ";"BES ";"382 "
"19 ";"3/4'' ";"25 ";"96,0 ";"42,0 ";"14,5 ";"BES-25-45∞-DN 19 ";"42,5 ";"BES ";"383 "
"25 ";"1'' ";"30 ";"";"";"20,0 ";"BES-30-45∞-DN 25 ";"74 ";"BES ";"384 "
"31 ";"1 1/4'' ";"38 ";"";"";"25,5 ";"BES-38-45∞-DN 31 ";"125 ";"BES ";"385 "
