"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16ì ";"1/8ì-28 keg ";"19,5 ";"3,0 ";"11 ";"AGRk-1/8''-DN 05 ";"13,4 ";"";"759 "
"06 ";"1/4ì ";"1/8ì-28 keg ";"20,0 ";"4,0 ";"14 ";"AGRk-1/8''-DN 06 ";"7,9 ";"";"760 "
"05 ";"3/16ì ";"1/4ì-19 keg ";"23,5 ";"3,0 ";"14 ";"AGRk-1/4''-DN 05 ";"13,5 ";"";"761 "
"06 ";"1/4ì ";"1/4ì-19 keg ";"28,0 ";"4,0 ";"14 ";"AGRk-1/4''-DN 06 ";"6,4 ";"";"762 "
"08 ";"5/16ì ";"1/4ì-19 keg ";"27,0 ";"5,5 ";"14 ";"AGRk-1/4ì-DN 08 ";"9,5 ";"";"763 "
"10 ";"3/8ì ";"1/4ì-19 keg ";"26,5 ";"7,0 ";"17 ";"AGRk-1/4''-DN 10 ";"10,4 ";"";"764 "
"06 ";"1/4ì ";"3/8ì-19 keg ";"25,5 ";"4,0 ";"19 ";"AGRk-3/8''-DN 06 ";"12 ";"";"765 "
"08 ";"5/16ì ";"3/8ì-19 keg ";"26,5 ";"5,5 ";"19 ";"AGRk-3/8''-DN 08 ";"8,03 ";"";"766 "
"10 ";"3/8ì ";"3/8ì-19 keg ";"26,5 ";"7,0 ";"19 ";"AGRk-3/8''-DN 10 ";"7,65 ";"";"767 "
"12 ";"1/2ì ";"3/8ì-19 keg ";"27,5 ";"9,5 ";"19 ";"AGRk-3/8''-DN 12 ";"8,95 ";"";"768 "
"10 ";"3/8ì ";"1/2ì-14 keg ";"27,5 ";"7,0 ";"22 ";"AGRk-1/2''-DN 10 ";"11,4 ";"";"769 "
"12 ";"1/2ì ";"1/2ì-14 keg ";"29,0 ";"9,5 ";"22 ";"AGRk-1/2''-DN 12 ";"11,1 ";"";"770 "
"19 ";"3/4'' ";"1/2ì-14 keg ";"34,0 ";"14,5 ";"27 ";"AGRk-1/2''-DN 19 ";"19,9 ";"";"771 "
"12 ";"1/2ì ";"3/4ì-14 keg ";"33,5 ";"9,5 ";"27 ";"AGRk-3/4''-DN 12 ";"18,85 ";"";"772 "
"16 ";"5/8ì ";"3/4ì-14 keg ";"36,5 ";"12,5 ";"27 ";"AGRk-3/4''-DN 16 ";"17,08 ";"";"773 "
"19 ";"3/4ì ";"3/4ì-14 keg ";"38,5 ";"14,5 ";"27 ";"AGRk-3/4''-DN 19 ";"16,3 ";"";"774 "
"25 ";"1'' ";"3/4ì-14 keg ";"35,7 ";"14,5 ";"32 ";"AGRk-3/4''-DN 25 ";"26,5 ";"";"775 "
"19 ";"3/4ì ";"1ì-11 keg ";"46,5 ";"14,5 ";"36 ";"AGRk-1''-DN 19 ";"28,3 ";"";"776 "
"25 ";"1ì ";"1ì-11 keg ";"38,7 ";"20,0 ";"36 ";"AGRk-1''-DN 25 ";"26,15 ";"";"777 "
"31 ";"1 1/4ì ";"1 1/4ì-11 keg ";"45,0 ";"25,5 ";"46 ";"AGRk-1 1/4''-DN 31 ";"41,7 ";"";"778 "
"38 ";"1 1/2ì ";"1 1/2ì-11 keg ";"50,0 ";"31,5 ";"50 ";"AGRk-1 1/2''-DN 38 ";"55,67 ";"";"779 "
"51 ";"2ì ";"2ì-11 keg ";"56,0 ";"43,0 ";"65 ";"AGRk-2''-DN 51 ";"93,9 ";"";"780 "
