"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"ET-DKOL-06-M 10x1-wd ";"43,53 ";"L ";"8790 "
"500 ";"8 ";"M 12 x 1,5 ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOL-08-M 12x1,5-wd ";"46,31 ";"L ";"8791 "
"500 ";"10 ";"M 14 x 1,5 ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOL-10-M 14x1,5-wd ";"55,41 ";"L ";"8792 "
"400 ";"12 ";"M 16 x 1,5 ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOL-12-M 16x1,5-wd ";"62,25 ";"L ";"8793 "
"400 ";"15 ";"M 18 x 1,5 ";"36 ";"21,0 ";"46,0 ";"32,5 ";"12 ";"24 ";"19 ";"27 ";"ET-DKOL-15-M 18x1,5-wd ";"82,77 ";"L ";"8794 "
"400 ";"18 ";"M 22 x 1,5 ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"ET-DKOL-18-M 22x1,5-wd ";"108,68 ";"L ";"8795 "
"250 ";"22 ";"M 26 x 1,5 ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOL-22-M 26x1,5-wd ";"130,56 ";"L ";"8796 "
"250 ";"28 ";"M 33 x 2 ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"ET-DKOL-28-M 33x2-wd ";"222,26 ";"L ";"8797 "
"250 ";"35 ";"M 42 x 2 ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOL-35-M 42x2-wd ";"314,55 ";"L ";"8798 "
"250 ";"42 ";"M 48 x 2 ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOL-42-M 48x2-wd ";"425,07 ";"L ";"8799 "
"800 ";"6 ";"M 12 x 1,5 ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOS-06-M 12x1,5-wd ";"48,39 ";"S ";"8800 "
"800 ";"8 ";"M 14 x 1,5 ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOS-08-M 14x1,5-wd ";"52,84 ";"S ";"8801 "
"800 ";"10 ";"M 16 x 1,5 ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOS-10-M 16x1,5-wd ";"63,84 ";"S ";"8802 "
"630 ";"12 ";"M 18 x 1,5 ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"24 ";"17 ";"24 ";"ET-DKOS-12-M 18x1,5-wd ";"69 ";"S ";"8803 "
"630 ";"14 ";"M 20 x 1,5 ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOS-14-M 20x1,5-wd ";"87,38 ";"S ";"8804 "
"630 ";"16 ";"M 22 x 1,5 ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"ET-DKOS-16-M 22x1,5-wd ";"109,39 ";"S ";"8805 "
"420 ";"20 ";"M 27 x 2 ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOS-20-M 27x2-wd ";"142,14 ";"S ";"8806 "
"420 ";"25 ";"M 33 x 2 ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"ET-DKOS-25-M 33x2-wd ";"224,77 ";"S ";"8807 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOS-30-M 42x2-wd ";"288,71 ";"S ";"8808 "
"420 ";"38 ";"M 48 x 2 ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOS-38-M 48x2-wd ";"429,31 ";"S ";"8809 "
