"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/4'' ";"26,0 ";"33,5 ";"17,0 ";"19 ";"GAI-S-06-G 1/4''-OMD ";"13,14 ";"S ";"12122 "
"630 ";"6 ";"G 3/8'' ";"";"";"17,0 ";"24 ";"GAI-S-06-G 3/8''-OMD ";"";"S ";"12123 "
"630 ";"6 ";"G 1/2'' ";"31,0 ";"";"20,0 ";"27 ";"GAI-S-06-G 1/2''-OMD ";"";"S ";"12124 "
"630 ";"8 ";"G 1/4'' ";"26,0 ";"33,0 ";"17,0 ";"19 ";"GAI-S-08-G 1/4''-OMD ";"13,11 ";"S ";"12125 "
"630 ";"8 ";"G 3/8'' ";"27,0 ";"34,0 ";"17,0 ";"24 ";"GAI-S-08-G 3/8''-OMD ";"18,6 ";"S ";"12126 "
"630 ";"8 ";"G 1/2'' ";"31,0 ";"38,0 ";"20,0 ";"27 ";"GAI-S-08-G 1/2''-OMD ";"20,5 ";"S ";"12127 "
"630 ";"10 ";"G 3/8'' ";"26,5 ";"34,0 ";"17,0 ";"24 ";"GAI-S-10-G 3/8''-OMD ";"17,53 ";"S ";"12128 "
"630 ";"10 ";"G 1/2'' ";"30,5 ";"38,0 ";"20,0 ";"27 ";"GAI-S-10-G 1/2''-OMD ";"19,58 ";"S ";"12129 "
"630 ";"12 ";"G 1/4'' ";"27,5 ";"35,0 ";"17,0 ";"22 ";"GAI-S-12-G 1/4''-OMD ";"18,56 ";"S ";"12130 "
"630 ";"12 ";"G 3/8'' ";"26,5 ";"34,0 ";"17,0 ";"24 ";"GAI-S-12-G 3/8''-OMD ";"17,92 ";"S ";"12131 "
"630 ";"12 ";"G 1/2'' ";"30,5 ";"38,0 ";"20,0 ";"27 ";"GAI-S-12-G 1/2''-OMD ";"19,07 ";"S ";"12132 "
"630 ";"14 ";"G 3/8'' ";"30,0 ";"38,0 ";"17,0 ";"24 ";"GAI-S-14-G 3/8''-OMD ";"24,4 ";"S ";"12133 "
"630 ";"14 ";"G 1/2'' ";"32,0 ";"40,0 ";"20,0 ";"27 ";"GAI-S-14-G 1/2''-OMD ";"22,62 ";"S ";"12134 "
"400 ";"16 ";"G 3/8'' ";"26,5 ";"35,0 ";"17,5 ";"27 ";"GAI-S-16-G 3/8''-OMD ";"21,6 ";"S ";"12135 "
"400 ";"16 ";"G 1/2'' ";"31,5 ";"40,0 ";"20,0 ";"27 ";"GAI-S-16-G 1/2''-OMD ";"21,6 ";"S ";"12136 "
"400 ";"16 ";"G 3/4'' ";"34,5 ";"43,0 ";"22,0 ";"36 ";"GAI-S-16-G 3/4''-OMD ";"34,51 ";"S ";"12137 "
"400 ";"20 ";"G 1/2'' ";"32,5 ";"43,0 ";"20,0 ";"32 ";"GAI-S-20-G 1/2''-OMD ";"28,76 ";"S ";"12138 "
"400 ";"20 ";"G 3/4'' ";"34,5 ";"45,0 ";"22,0 ";"36 ";"GAI-S-20-G 3/4''-OMD ";"32,55 ";"S ";"12139 "
"400 ";"25 ";"G 3/4'' ";"35,0 ";"47,0 ";"22,0 ";"41 ";"GAI-S-25-G 3/4''-OMD ";"41,41 ";"S ";"12140 "
"400 ";"25 ";"G 1'' ";"37,5 ";"49,5 ";"24,5 ";"41 ";"GAI-S-25-G 1''-OMD ";"41,41 ";"S ";"12141 "
"400 ";"30 ";"G 1 1/4'' ";"42,0 ";"55,5 ";"26,5 ";"55 ";"GAI-S-30-G 1 1/4''-OMD ";"81,38 ";"S ";"12142 "
"315 ";"38 ";"G 1 1/2'' ";"43,5 ";"59,5 ";"28,5 ";"60 ";"GAI-S-38-G 1 1/2''-OMD ";"96,01 ";"S ";"12143 "
