"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"17 ";"18 ";"14 ";"WHV-L-06-M 10x1-WDS-SC ";"90,95 ";"L ";"10897 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"19 ";"22 ";"17 ";"WHV-L-08-M 12x1,5-WDS-SC ";"115,28 ";"L ";"10898 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"19 ";"22 ";"19 ";"WHV-L-10-M 14x1,5-WDS-SC ";"103,84 ";"L ";"10899 "
"315 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"24 ";"27 ";"22 ";"WHV-L-12-M 16x1,5-WDS-SC ";"118,58 ";"L ";"10900 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27 ";"30 ";"27 ";"WHV-L-15-M 18x1,5-WDS-SC ";"148,16 ";"L ";"10901 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"30 ";"32 ";"32 ";"WHV-L-18-M 22x1,5-WDS-SC ";"187,19 ";"L ";"10902 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"36 ";"40 ";"36 ";"WHV-L-22-M 26x1,5-WDS-SC ";"289,42 ";"L ";"10903 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"46 ";"50 ";"41 ";"WHV-L-28-M 33x2-WDS-SC ";"442,08 ";"L ";"10904 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"55 ";"60 ";"50 ";"WHV-L-35-M 42x2-WDS-SC ";"662,25 ";"L ";"10905 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"60 ";"70 ";"60 ";"WHV-L-42-M 48x2-WDS-SC ";"944,48 ";"L ";"10906 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"17 ";"WHV-S-06-M 12x1,5-WDS-SC ";"115,28 ";"S ";"10907 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"19 ";"WHV-S-08-M 14x1,5-WDS-SC ";"106,39 ";"S ";"10908 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"24 ";"27 ";"22 ";"WHV-S-10-M 16x1,5-WDS-SC ";"121,14 ";"S ";"10909 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27 ";"30 ";"24 ";"WHV-S-12-M 18x1,5-WDS-SC ";"137,7 ";"S ";"10910 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30 ";"32 ";"30 ";"WHV-S-16-M 22x1,5-WDS-SC ";"202,44 ";"S ";"10912 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"36 ";"40 ";"36 ";"WHV-S-20-M 27x2-WDS-SC ";"302,51 ";"S ";"10913 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"46 ";"50 ";"46 ";"WHV-S-25-M 33x2-WDS-SC ";"427,74 ";"S ";"10914 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"55 ";"60 ";"50 ";"WHV-S-30-M 42x2-WDS-SC ";"683,15 ";"S ";"10915 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"60 ";"70 ";"60 ";"WHV-S-38-M 48x2-WDS-SC ";"986,71 ";"S ";"10916 "
