"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"7/16''-20 ";"16,2 ";"7,5 ";"3,0 ";"17 ";"DKJ-7/16''-DN 05 ";"10,4 ";"";"548 "
"06 ";"1/4'' ";"7/16''-20 ";"16,2 ";"7,5 ";"4,0 ";"17 ";"DKJ-7/16''-DN 06 ";"8,45 ";"";"549 "
"10 ";"3/8'' ";"7/16''-20 ";"17,5 ";"7,5 ";"7,0 ";"17 ";"DKJ-7/16''-DN 10 ";"27 ";"";"550 "
"05 ";"3/16'' ";"1/2''-20 ";"16,2 ";"9,5 ";"3,0 ";"17 ";"DKJ-1/2''-DN 05 ";"10,4 ";"";"551 "
"06 ";"1/4'' ";"1/2''-20 ";"16,0 ";"9,5 ";"4,0 ";"17 ";"DKJ-1/2''-DN 06 ";"8,9 ";"";"552 "
"08 ";"5/16'' ";"1/2''-20 ";"19,0 ";"8,5 ";"5,5 ";"17 ";"DKJ-1/2''-DN 08 ";"8,9 ";"";"553 "
"10 ";"3/8'' ";"1/2''-20 ";"17,5 ";"8,5 ";"5,0 ";"17 ";"DKJ-1/2''-DN 10 ";"";"";"12164 "
"05 ";"3/16'' ";"9/16''-18 ";"18,0 ";"9,5 ";"3,0 ";"19 ";"DKJ-9/16''-DN 05 ";"10,5 ";"";"554 "
"06 ";"1/4'' ";"9/16''-18 ";"18,5 ";"8,5 ";"4,0 ";"19 ";"DKJ-9/16''-DN 06 ";"9,5 ";"";"555 "
"08 ";"5/16'' ";"9/16''-18 ";"16,5 ";"10,0 ";"5,5 ";"19 ";"DKJ-9/16''-DN 08 ";"9,5 ";"";"556 "
"10 ";"3/8'' ";"9/16''-18 ";"19,0 ";"8,5 ";"7,0 ";"19 ";"DKJ-9/16''-DN 10 ";"10,15 ";"";"557 "
"12 ";"1/2'' ";"9/16''-18 ";"18,0 ";"8,5 ";"7,5 ";"19 ";"DKJ-9/16''-DN 12 ";"16 ";"";"558 "
