"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"20,5 ";"14,0 ";"4,0 ";"12 ";"5250010-04 ";"4,5 ";"";"2196 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"20,5 ";"14,0 ";"5,0 ";"14 ";"5250010-05 ";"4,5 ";"";"2197 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"22,0 ";"14,0 ";"7,0 ";"17 ";"5250010-06 ";"5,5 ";"";"2198 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"24,0 ";"17,0 ";"9,5 ";"22 ";"5250010-08 ";"6,25 ";"";"2199 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"28,0 ";"19,5 ";"12,0 ";"24 ";"5250010-10 ";"8,5 ";"";"2200 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"33,0 ";"22,0 ";"15,0 ";"27 ";"5250010-12 ";"12 ";"";"2201 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"34,0 ";"23,0 ";"21,5 ";"36 ";"5250010-16 ";"16,6 ";"";"2202 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"37,7 ";"24,3 ";"27,5 ";"46 ";"5250010-20 ";"27,5 ";"";"2203 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"42,5 ";"27,5 ";"33,0 ";"50 ";"5250010-24 ";"38,75 ";"";"2204 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"52,0 ";"33,9 ";"45,0 ";"65 ";"5250010-32 ";"56,7 ";"";"2205 "
