"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"TE-L-06-M 10x1-k-SC ";"27,23 ";"L ";"5533 "
"315 ";"8 ";"M 12 x 1,5 keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"TE-L-08-M 12x1,5-k-SC ";"29,36 ";"L ";"5534 "
"315 ";"10 ";"M 14 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"TE-L-10-M 14x1,5-k-SC ";"32,32 ";"L ";"5535 "
"315 ";"12 ";"M 16 x 1,5 keg ";"32 ";"17,0 ";"28 ";"12 ";"17 ";"22 ";"TE-L-12-M 16x1,5-k-SC ";"38,16 ";"L ";"5536 "
"315 ";"15 ";"M 18 x 1,5 keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"TE-L-15-M 18x1,5-k-SC ";"52,88 ";"L ";"5537 "
"315 ";"18 ";"M 22 x 1,5 keg ";"40 ";"23,5 ";"36 ";"14 ";"24 ";"32 ";"TE-L-18-M 22x1,5-k-SC ";"85,09 ";"L ";"5538 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"31 ";"16,0 ";"26 ";"12 ";"12 ";"17 ";"TE-S-06-M 12x1,5-k-SC ";"29,08 ";"S ";"5539 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"TE-S-08-M 14x1,5-k-SC ";"32,07 ";"S ";"5540 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"TE-S-10-M 16x1,5-k-SC ";"38,06 ";"S ";"5541 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"TE-S-12-M 18x1,5-k-SC ";"43,53 ";"S ";"5542 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"40 ";"22,0 ";"32 ";"14 ";"17 ";"27 ";"TE-S-14-M 20x1,5-k-SC ";"54,74 ";"S ";"5543 "
"400 ** ";"16 ";"M 22 x 1,5 keg ";"43 ";"24,5 ";"32 ";"14 ";"19 ";"30 ";"TE-S-16-M 22x1,5-k-SC ";"82,37 ";"S ";"5544 "
