"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"12,0 ";"20,0 ";"19,0 ";"10,0 ";"12 ";"WE-L-06-1/8''-NPT-OMD ";"14,2 ";"L ";"5327 "
"315 ";"6 ";"1/4'' NPT ";"14,0 ";"26,0 ";"19,0 ";"15,0 ";"12 ";"WE-L-06-1/4''-NPT-OMD ";"15,15 ";"L ";"5328 "
"315 ";"6 ";"3/8'' NPT ";"18,0 ";"28,0 ";"22,0 ";"15,3 ";"14 ";"WE-L-06-3/8''-NPT-OMD ";"20,88 ";"L ";"5329 "
"315 ";"6 ";"1/2'' NPT ";"15,5 ";"30,0 ";"26,0 ";"20,0 ";"17 ";"WE-L-06-1/2''-NPT-OMD ";"24,76 ";"L ";"5330 "
"315 ";"8 ";"1/8'' NPT ";"14,0 ";"26,0 ";"21,0 ";"10,0 ";"12 ";"WE-L-08-1/8''-NPT-OMD ";"15,76 ";"L ";"5331 "
"315 ";"8 ";"1/4'' NPT ";"14,0 ";"26,0 ";"21,0 ";"15,0 ";"12 ";"WE-L-08-1/4''-NPT-OMD ";"16,63 ";"L ";"5332 "
"315 ";"8 ";"3/8'' NPT ";"14,0 ";"26,0 ";"22,0 ";"15,3 ";"14 ";"WE-L-08-3/8''-NPT-OMD ";"20,87 ";"L ";"5333 "
"315 ";"8 ";"1/2'' NPT ";"19,5 ";"30,0 ";"26,0 ";"20,0 ";"17 ";"WE-L-08-1/2''-NPT-OMD ";"24,5 ";"L ";"5334 "
"315 ";"10 ";"1/8'' NPT ";"15,0 ";"27,0 ";"22,0 ";"10,0 ";"14 ";"WE-L-10-1/8''-NPT-OMD ";"20,11 ";"L ";"5335 "
"315 ";"10 ";"1/4'' NPT ";"15,0 ";"27,0 ";"22,0 ";"15,0 ";"14 ";"WE-L-10-1/4''-NPT-OMD ";"19,24 ";"L ";"5336 "
"315 ";"10 ";"3/8'' NPT ";"17,0 ";"28,0 ";"22,0 ";"15,3 ";"14 ";"WE-L-10-3/8''-NPT-OMD ";"20,42 ";"L ";"5337 "
"315 ";"10 ";"1/2'' NPT ";"21,0 ";"33,0 ";"28,0 ";"20,0 ";"17 ";"WE-L-10-1/2''-NPT-OMD ";"23,48 ";"L ";"5338 "
"315 ";"12 ";"1/8'' NPT ";"17,0 ";"28,0 ";"24,0 ";"10,0 ";"17 ";"WE-L-12-1/8''-NPT-OMD ";"21,01 ";"L ";"5339 "
"315 ";"12 ";"1/4'' NPT ";"17,0 ";"28,0 ";"24,0 ";"15,0 ";"17 ";"WE-L-12-1/4''-NPT-OMD ";"20,42 ";"L ";"5340 "
"315 ";"12 ";"3/8'' NPT ";"17,0 ";"28,0 ";"24,0 ";"15,3 ";"17 ";"WE-L-12-3/8''-NPT-OMD ";"20,42 ";"L ";"5341 "
"315 ";"12 ";"1/2'' NPT ";"21,0 ";"32,5 ";"27,5 ";"20,0 ";"17 ";"WE-L-12-1/2''-NPT-OMD ";"23,18 ";"L ";"5342 "
"315 ";"15 ";"3/8'' NPT ";"21,0 ";"34,0 ";"28,0 ";"15,3 ";"19 ";"WE-L-15-3/8''-NPT-OMD ";"25,51 ";"L ";"5343 "
"315 ";"15 ";"1/2'' NPT ";"21,0 ";"34,0 ";"28,0 ";"20,0 ";"19 ";"WE-L-15-1/2''-NPT-OMD ";"25,51 ";"L ";"5344 "
"160 ";"15 ";"3/4'' NPT ";"21,0 ";"42,0 ";"28,0 ";"20,0 ";"24 ";"WE-L-15-3/4''-NPT-OMD ";"41,52 ";"L ";"5345 "
"315 ";"18 ";"3/8'' NPT ";"23,5 ";"36,0 ";"31,0 ";"15,3 ";"24 ";"WE-L-18-3/8''-NPT-OMD ";"34,4 ";"L ";"5346 "
"315 ";"18 ";"1/2'' NPT ";"23,5 ";"36,0 ";"31,0 ";"20,0 ";"24 ";"WE-L-18-1/2''-NPT-OMD ";"33,28 ";"L ";"5347 "
"160 ";"18 ";"3/4'' NPT ";"22,0 ";"41,0 ";"31,0 ";"20,0 ";"24 ";"WE-L-18-3/4''-NPT-OMD ";"42,52 ";"L ";"5348 "
"160 ";"22 ";"1/2'' NPT ";"27,5 ";"42,0 ";"35,0 ";"20,0 ";"27 ";"WE-L-22-1/2''-NPT-OMD ";"41,33 ";"L ";"5349 "
"160 ";"22 ";"3/4'' NPT ";"27,5 ";"42,0 ";"35,0 ";"20,0 ";"27 ";"WE-L-22-3/4''-NPT-OMD ";"41,33 ";"L ";"5350 "
"160 ";"28 ";"3/4'' NPT ";"30,5 ";"48,0 ";"38,0 ";"20,0 ";"36 ";"WE-L-28-3/4''-NPT-OMD ";"89,9 ";"L ";"5351 "
"160 ";"28 ";"1'' NPT ";"30,5 ";"48,0 ";"38,0 ";"25,0 ";"36 ";"WE-L-28-1''-NPT-OMD ";"82,3 ";"L ";"5352 "
"160 ";"35 ";"1 1/4'' NPT ";"34,5 ";"54,0 ";"45,0 ";"25,5 ";"41 ";"WE-L-35-1 1/4''-NPT-OMD ";"129,72 ";"L ";"5353 "
"160 ";"42 ";"1 1/2'' NPT ";"40,0 ";"61,0 ";"51,0 ";"26,0 ";"50 ";"WE-L-42-1 1/2''-NPT-OMD ";"179,65 ";"L ";"5354 "
"100 ";"4 ";"1/8'' NPT ";"11,0 ";"17,0 ";"15,0 ";"10,0 ";"9 ";"WE-LL-04-1/8''-NPT-OMD ";"12,74 ";"LL ";"5324 "
"100 ";"6 ";"1/8'' NPT ";"9,5 ";"17,0 ";"15,0 ";"10,0 ";"9 ";"WE-LL-06-1/8''-NPT-OMD ";"13,26 ";"LL ";"5325 "
"100 ";"8 ";"1/8'' NPT ";"11,5 ";"20,0 ";"17,0 ";"10,0 ";"12 ";"WE-LL-08-1/8''-NPT-OMD ";"13,9 ";"LL ";"5326 "
