"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10 ";"29,0 ";"14,0 ";"12 ";"14 ";"ASV-L-06 ";"8,18 ";"L ";"9534 "
"500 ";"8 ";"12 ";"31,0 ";"16,0 ";"14 ";"17 ";"ASV-L-08 ";"9,02 ";"L ";"9535 "
"500 ";"10 ";"14 ";"33,0 ";"18,0 ";"17 ";"19 ";"ASV-L-10 ";"10,89 ";"L ";"9536 "
"400 ";"12 ";"16 ";"33,0 ";"18,0 ";"19 ";"27 ";"ASV-L-12 ";"11,27 ";"L ";"9537 "
"400 ";"15 ";"19 ";"37,0 ";"22,0 ";"22 ";"27 ";"ASV-L-15 ";"14,19 ";"L ";"9538 "
"400 ";"18 ";"22 ";"40,0 ";"23,5 ";"27 ";"32 ";"ASV-L-18 ";"23,42 ";"L ";"9539 "
"250 ";"22 ";"27 ";"45,0 ";"28,5 ";"32 ";"36 ";"ASV-L-22 ";"31,19 ";"L ";"9540 "
"250 ";"28 ";"32 ";"47,0 ";"30,5 ";"41 ";"41 ";"ASV-L-28 ";"45,51 ";"L ";"9541 "
"250 ";"35 ";"40 ";"54,0 ";"32,5 ";"46 ";"50 ";"ASV-L-35 ";"58,8 ";"L ";"9542 "
"250 ";"42 ";"46 ";"58,0 ";"35,0 ";"55 ";"60 ";"ASV-L-42 ";"79,25 ";"L ";"9543 "
"800 ";"6 ";"11 ";"34,0 ";"19,0 ";"14 ";"17 ";"ASV-S-06 ";"10,79 ";"S ";"9544 "
"800 ";"8 ";"13 ";"36,0 ";"21,0 ";"17 ";"19 ";"ASV-S-08 ";"12,22 ";"S ";"9545 "
"800 ";"10 ";"15 ";"39,0 ";"22,5 ";"19 ";"22 ";"ASV-S-10 ";"13,37 ";"S ";"9546 "
"630 ";"12 ";"17 ";"41,0 ";"24,5 ";"22 ";"24 ";"ASV-S-12 ";"13,55 ";"S ";"9547 "
"630 ";"14 ";"19 ";"45,0 ";"27,0 ";"24 ";"27 ";"ASV-S-14 ";"18,05 ";"S ";"9548 "
"630 ";"16 ";"21 ";"45,0 ";"26,5 ";"27 ";"30 ";"ASV-S-16 ";"23,88 ";"S ";"9549 "
"420 ";"20 ";"26 ";"51,0 ";"29,5 ";"32 ";"36 ";"ASV-S-20 ";"33,23 ";"S ";"9550 "
"420 ";"25 ";"31 ";"56,0 ";"32,0 ";"41 ";"46 ";"ASV-S-25 ";"51,39 ";"S ";"9551 "
"420 ";"30 ";"36 ";"62,0 ";"35,5 ";"46 ";"50 ";"ASV-S-30 ";"63,4 ";"S ";"9552 "
"420 ";"38 ";"44 ";"69,0 ";"38,0 ";"55 ";"60 ";"ASV-S-38 ";"84,36 ";"S ";"9553 "
