"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"G 1/8''  ";"41 ";"26,5 ";"8 ";"17 ";"17 ";"14 ";"RZ-L-06-G 1/8''-wd ";"53,69 ";"L ";"7550 "
"250 ";"8 ";"G 1/4''  ";"43 ";"28,5 ";"12 ";"19 ";"17 ";"17 ";"RZ-L-08-G 1/4''-wd ";"58,8 ";"L ";"7551 "
"250 ";"10 ";"G 1/4''  ";"53 ";"38,5 ";"12 ";"24 ";"22 ";"19 ";"RZ-L-10-G 1/4''-wd ";"69,03 ";"L ";"7552 "
"250 ";"12 ";"G 3/8''  ";"55 ";"40,5 ";"12 ";"30 ";"27 ";"22 ";"RZ-L-12-G 3/8''-wd ";"81,81 ";"L ";"7553 "
"250 ";"15 ";"G 1/2''  ";"58 ";"42,5 ";"14 ";"30 ";"27 ";"27 ";"RZ-L-15-G 1/2''-wd ";"92,03 ";"L ";"7554 "
"160 ";"18 ";"G 1/2''  ";"64 ";"48,0 ";"14 ";"36 ";"36 ";"32 ";"RZ-L-18-G 1/2''-wd ";"120,16 ";"L ";"7555 "
"160 ";"22 ";"G 3/4''  ";"72 ";"56,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-L-22-G 3/4''-wd ";"171,8 ";"L ";"7556 "
"100 ";"28 ";"G 1''  ";"81 ";"64,0 ";"18 ";"55 ";"50 ";"41 ";"RZ-L-28-G 1''-wd ";"232,64 ";"L ";"7557 "
"100 ";"35 ";"G 1 1/4''  ";"92 ";"70,0 ";"20 ";"60 ";"60 ";"50 ";"RZ-L-35-G 1 1/4''-wd ";"334,9 ";"L ";"7558 "
"100 ";"42 ";"G 1 1/2''  ";"104 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-L-42-G 1 1/2''-wd ";"472,95 ";"L ";"7559 "
"630 ";"6 ";"G 1/4''  ";"46 ";"31,5 ";"12 ";"19 ";"19 ";"17 ";"RZ-S-06-G 1/4''-wd ";"58,8 ";"S ";"7560 "
"630 ";"8 ";"G 1/4''  ";"46 ";"31,5 ";"12 ";"22 ";"19 ";"19 ";"RZ-S-08-G 1/4''-wd ";"61,36 ";"S ";"7561 "
"630 ";"10 ";"G 3/8''  ";"54 ";"38,0 ";"12 ";"27 ";"24 ";"22 ";"RZ-S-10-G 3/8''-wd ";"71,58 ";"S ";"7562 "
"630 ";"12 ";"G 3/8''  ";"57 ";"41,0 ";"12 ";"30 ";"27 ";"24 ";"RZ-S-12-G 3/8''-wd ";"76,69 ";"S ";"7563 "
"630 ";"14 ";"G 1/2''  ";"61 ";"43,5 ";"14 ";"32 ";"27 ";"27 ";"RZ-S-14-G 1/2''-wd ";"86,92 ";"S ";"7564 "
"400 ";"16 ";"G 1/2''  ";"64 ";"46,0 ";"14 ";"36 ";"32 ";"30 ";"RZ-S-16-G 1/2''-wd ";"104,82 ";"S ";"7565 "
"400 ";"20 ";"G 3/4''  ";"72 ";"50,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-S-20-G 3/4''-wd ";"166,17 ";"S ";"7566 "
"400 ";"25 ";"G 1''  ";"79 ";"54,5 ";"18 ";"50 ";"46 ";"46 ";"RZ-S-25-G 1''-wd ";"212,19 ";"S ";"7567 "
"250 ";"30 ";"G 1 1/4''  ";"91 ";"64,0 ";"20 ";"60 ";"55 ";"50 ";"RZ-S-30-G 1 1/4''-wd ";"306,78 ";"S ";"7568 "
"250 ";"38 ";"G 1 1/2''  ";"102 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-S-38-G 1 1/2''-wd ";"414,15 ";"S ";"7569 "
