"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G = UN";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"1 1/16''-12 ";"93,0 ";"37,5 ";"14,5 ";"32 ";"I-DKJ-1 1/16''-45∞-DN 19 ";"82,5 ";"";"1195 "
"19 ";"3/4'' ";"1 5/16''-12 ";"93,0 ";"43,5 ";"14,5 ";"41 ";"I-DKJ-1 5/16''-45∞-DN 19 ";"93,5 ";"";"1196 "
"25 ";"1'' ";"1 5/16''-12 ";"101,0 ";"47,0 ";"20,0 ";"41 ";"I-DKJ-1 5/16''-45∞-DN 25 ";"112 ";"";"1197 "
"25 ";"1'' ";"1 5/8''-12 ";"123,0 ";"51,0 ";"20,0 ";"50 ";"I-DKJ-1 5/8''-45∞-DN 25 ";"185 ";"";"1198 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"116,5 ";"49,0 ";"25,0 ";"50 ";"I-DKJ-1 5/8''-45∞-DN 31 ";"166,5 ";"";"1199 "
"31 ";"1 1/4'' ";"1 7/8''-12 ";"146,0 ";"52,0 ";"25,0 ";"60 ";"I-DKJ-1 7/8''-45∞-DN 31 ";"269,9 ";"";"1200 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"130,0 ";"50,0 ";"31,0 ";"60 ";"I-DKJ-1 7/8''-45∞-DN 38 ";"249,9 ";"";"1201 "
"38 ";"1 1/2'' ";"2 1/2''-12 ";"";"";"";"";"I-DKJ-2 1/2''-45∞-DN 38 ";"475 ";"";"1202 "
"51 ";"2'' ";"2 1/2''-12 ";"166,5 ";"78,0 ";"41,0 ";"70 ";"I-DKJ-2 1/2''-45∞-DN 51 ";"399,9 ";"";"1203 "
