"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"18,0 ";"30,5 ";"P9-DN 06 ";"6,7 ";"";"36 "
"08 ";"5/16'' ";"19,0 ";"32,0 ";"P9-DN 08 ";"7 ";"";"37 "
"10 ";"3/8'' ";"22,0 ";"33,0 ";"P9-DN 10 ";"7 ";"";"38 "
"12 ";"1/2'' ";"26,0 ";"34,0 ";"P9-DN 12 ";"7,8 ";"";"39 "
"31 ";"1 1/4ì ";"48,0 ";"67,5 ";"P9-DN 31 ";"30,65 ";"";"12318 "
"38 ";"1 1/2ì ";"55,5 ";"66,0 ";"P9-DN 38 ";"39,8 ";"";"12319 "
"51 ";"2ì ";"69,0 ";"75,0 ";"P9-DN 51 ";"53,8 ";"";"12320 "
