"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"LE-L-06-M 10x1-k-SC ";"27,23 ";"L ";"5796 "
"315 ";"8 ";"M 12 x 1,5 keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"LE-L-08-M 12x1,5-k-SC ";"29,56 ";"L ";"5797 "
"315 ";"10 ";"M 14 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"LE-L-10-M 14x1,5-k-SC ";"32,58 ";"L ";"5798 "
"315 ";"12 ";"M 16 x 1,5 keg ";"32 ";"17,0 ";"28 ";"12 ";"17 ";"22 ";"LE-L-12-M 16x1,5-k-SC ";"38,16 ";"L ";"5799 "
"315 ";"15 ";"M 18 x 1,5 keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"LE-L-15-M 18x1,5-k-SC ";"52,93 ";"L ";"5800 "
"315 ";"18 ";"M 22 x 1,5 keg ";"40 ";"23,0 ";"36 ";"14 ";"24 ";"32 ";"LE-L-18-M 22x1,5-k-SC ";"85,09 ";"L ";"5801 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"31 ";"16,0 ";"26 ";"12 ";"12 ";"17 ";"LE-S-06-M 12x1,5-k-SC ";"29,08 ";"S ";"5802 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"LE-S-08-M 14x1,5-k-SC ";"32,07 ";"S ";"5803 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"LE-S-10-M 16x1,5-k-SC ";"38,06 ";"S ";"5804 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"LE-S-12-M 18x1,5-k-SC ";"43,5 ";"S ";"5805 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"40 ";"22,0 ";"34 ";"14 ";"19 ";"27 ";"LE-S-14-M 20x1,5-k-SC ";"54,71 ";"S ";"5806 "
"400 ** ";"16 ";"M 22 x 1,5 keg ";"43 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"LE-S-16-M 22x1,5-k-SC ";"82,37 ";"S ";"5807 "
