"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"ET-DKOL-06 ";"37,91 ";"L ";"8730 "
"500 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"ET-DKOL-08 ";"39,19 ";"L ";"8731 "
"500 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"ET-DKOL-10 ";"48,39 ";"L ";"8732 "
"400 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"ET-DKOL-12 ";"53,15 ";"L ";"8733 "
"400 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"ET-DKOL-15 ";"71,58 ";"L ";"8734 "
"400 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"ET-DKOL-18 ";"94,59 ";"L ";"8735 "
"250 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"ET-DKOL-22 ";"109,93 ";"L ";"8736 "
"250 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"41,5 ";"36 ";"41 ";"ET-DKOL-28 ";"191,74 ";"L ";"8737 "
"250 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"51,0 ";"41 ";"50 ";"ET-DKOL-35 ";"281,21 ";"L ";"8738 "
"250 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"ET-DKOL-42 ";"375,81 ";"L ";"8739 "
"800 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"ET-DKOS-06 ";"39,45 ";"S ";"8740 "
"800 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"ET-DKOS-08 ";"42,77 ";"S ";"8741 "
"800 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"ET-DKOS-10 ";"53,38 ";"S ";"8742 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"ET-DKOS-12 ";"58,29 ";"S ";"8743 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"ET-DKOS-14 ";"74,14 ";"S ";"8744 "
"630 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"ET-DKOS-16 ";"94,59 ";"S ";"8745 "
"420 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"ET-DKOS-20 ";"120,16 ";"S ";"8746 "
"420 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"ET-DKOS-25 ";"191,74 ";"S ";"8747 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"ET-DKOS-30 ";"250,54 ";"S ";"8748 "
"420 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"ET-DKOS-38 ";"383,47 ";"S ";"8749 "
