"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"19,0 ";"17 ";"18 ";"THV-L-06-M 10x1-WDS-OMD ";"142,25 ";"L ";"11083 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-L-08-M 12x1,5-WDS-OMD ";"175,71 ";"L ";"11084 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-L-10-M 14x1,5-WDS-OMD ";"183,6 ";"L ";"11085 "
"350 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"25,5 ";"24 ";"27 ";"THV-L-12-M 16x1,5-WDS-OMD ";"202,27 ";"L ";"11086 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27,5 ";"27 ";"30 ";"THV-L-15-M 18x1,5-WDS-OMD ";"272,3 ";"L ";"11087 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"28,5 ";"30 ";"32 ";"THV-L-18-M 22x1,5-WDS-OMD ";"337,03 ";"L ";"11088 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"35,0 ";"36 ";"40 ";"THV-L-22-M 26x1,5-WDS-OMD ";"527,8 ";"L ";"11089 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"39,5 ";"46 ";"50 ";"THV-L-28-M 33x2-WDS-OMD ";"765,73 ";"L ";"11090 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"46,5 ";"55 ";"60 ";"THV-L-35-M 42x2-WDS-OMD ";"1027,91 ";"L ";"11091 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"51,0 ";"60 ";"70 ";"THV-L-42-M 48x2-WDS-OMD ";"1281,55 ";"L ";"11092 "
"100 ";"6 ";"M 10 x 1 ";"11,5 ";"24,0 ";"17,0 ";"17 ";"18 ";"THV-LL-06-M 10x1-WDS-OMD ";"142,99 ";"LL ";"11081 "
"100 ";"8 ";"M 10 x 1 ";"12,5 ";"24,0 ";"18,0 ";"17 ";"18 ";"THV-LL-08-M 10x1-WDS-OMD ";"141,31 ";"LL ";"11082 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-S-06-M 12x1,5-WDS-OMD ";"175,73 ";"S ";"11093 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-S-08-M 14x1,5-WDS-OMD ";"176,25 ";"S ";"11094 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"25,5 ";"24 ";"27 ";"THV-S-10-M 16x1,5-WDS-OMD ";"207,29 ";"S ";"11095 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"25,5 ";"27 ";"30 ";"THV-S-12-M 18x1,5-WDS-OMD ";"219,99 ";"S ";"11096 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"";"30 ";"32 ";"THV-S-16-M 22x1,5-WDS-OMD ";"353,19 ";"S ";"11098 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"37,0 ";"36 ";"40 ";"THV-S-20-M 27x2-WDS-OMD ";"530,01 ";"S ";"11099 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"43,5 ";"46 ";"50 ";"THV-S-25-M 33x2-WDS-OMD ";"707,06 ";"S ";"11100 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"51,0 ";"55 ";"60 ";"THV-S-30-M 42x2-WDS-OMD ";"946,56 ";"S ";"11101 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"57,0 ";"60 ";"70 ";"THV-S-38-M 48x2-WDS-OMD ";"1145,32 ";"S ";"11102 "
