"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"18,5 ";"3,7 ";"14 ";"4,5 x 1,5 ";"PL-DKOL-06-DN 06 ";"30 ";"";"1046 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"20,0 ";"4,0 ";"17 ";"6,0 x 1,5 ";"PL-DKOL-08-DN 06 ";"27,5 ";"";"1047 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"22,0 ";"7,0 ";"19 ";"8,0 x 1,5 ";"PL-DKOL-10-DN 10 ";"27,5 ";"";"1048 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"26,0 ";"7,0 ";"22 ";"10,0 x 1,5 ";"PL-DKOL-12-DN 10 ";"27,5 ";"";"1049 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"22,5 ";"10,0 ";"27 ";"12,0 x 2,0 ";"PL-DKOL-15-DN 12 ";"29,5 ";"";"1050 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"22,0 ";"13,5 ";"32 ";"15,0 x 2,0 ";"PL-DKOL-18-DN 16 ";"37 ";"";"1051 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"25,0 ";"15,0 ";"36 ";"19,0 x 2,0 ";"PL-DKOL-22-DN 19 ";"43,5 ";"";"1052 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"26,5 ";"21,0 ";"41 ";"25,0 x 2,0 ";"PL-DKOL-28-DN 25 ";"62 ";"";"1053 "
