"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"24 ";"9,0 ";"26,0 ";"14 ";"14 ";"EV-DKOL-06 ";"31,76 ";"L ";"11382 "
"500 ";"8 ";"M 14 x 1,5 ";"27 ";"12,0 ";"27,5 ";"14 ";"17 ";"EV-DKOL-08 ";"35 ";"L ";"11383 "
"500 ";"10 ";"M 16 x 1,5 ";"27 ";"12,0 ";"29,0 ";"19 ";"19 ";"EV-DKOL-10 ";"42,81 ";"L ";"11384 "
"400 ";"12 ";"M 18 x 1,5 ";"29 ";"14,0 ";"29,5 ";"19 ";"22 ";"EV-DKOL-12 ";"50,12 ";"L ";"11385 "
"400 ";"15 ";"M 22 x 1,5 ";"32 ";"17,0 ";"32,5 ";"22 ";"27 ";"EV-DKOL-15 ";"52,24 ";"L ";"11386 "
"400 ";"18 ";"M 26 x 1,5 ";"33 ";"16,5 ";"35,5 ";"27 ";"32 ";"EV-DKOL-18 ";"102,37 ";"L ";"11387 "
"250 ";"22 ";"M 30 x 2 ";"35 ";"18,5 ";"38,5 ";"30 ";"36 ";"EV-DKOL-22 ";"131,36 ";"L ";"11388 "
"250 ";"28 ";"M 36 x 2 ";"40 ";"23,0 ";"41,5 ";"36 ";"41 ";"EV-DKOL-28 ";"182,25 ";"L ";"11389 "
"250 ";"35 ";"M 45 x 2 ";"48 ";"26,5 ";"51,0 ";"50 ";"50 ";"EV-DKOL-35 ";"259,88 ";"L ";"11390 "
"250 ";"42 ";"M 52 x 2 ";"49 ";"26,0 ";"56,0 ";"50 ";"60 ";"EV-DKOL-42 ";"383,83 ";"L ";"11391 "
"800 ";"6 ";"M 14 x 1,5 ";"24 ";"9,0 ";"27,0 ";"14 ";"17 ";"EV-DKOS-06 ";"34,99 ";"S ";"11392 "
"800 ";"8 ";"M 16 x 1,5 ";"27 ";"12,0 ";"27,5 ";"19 ";"19 ";"EV-DKOS-08 ";"42,65 ";"S ";"11393 "
"800 ";"10 ";"M 18 x 1,5 ";"30 ";"13,5 ";"30,0 ";"19 ";"22 ";"EV-DKOS-10 ";"50,17 ";"S ";"11394 "
"630 ";"12 ";"M 20 x 1,5 ";"33 ";"16,5 ";"31,0 ";"22 ";"24 ";"EV-DKOS-12 ";"51,45 ";"S ";"11395 "
"630 ";"16 ";"M 24 x 1,5 ";"34 ";"15,5 ";"36,5 ";"27 ";"30 ";"EV-DKOS-16 ";"98,31 ";"S ";"11396 "
"420 ";"20 ";"M 30 x 2 ";"38 ";"16,0 ";"44,5 ";"30 ";"36 ";"EV-DKOS-20 ";"131,63 ";"S ";"11397 "
"420 ";"25 ";"M 36 x 2 ";"43 ";"18,5 ";"50,0 ";"36 ";"46 ";"EV-DKOS-25 ";"190,62 ";"S ";"11398 "
"420 ";"30 ";"M 42 x 2 ";"50 ";"23,5 ";"55,0 ";"50 ";"50 ";"EV-DKOS-30 ";"262,21 ";"S ";"11399 "
"420 ";"38 ";"M 52 x 2 ";"52 ";"21,0 ";"63,0 ";"50 ";"60 ";"EV-DKOS-38 ";"452,01 ";"S ";"11400 "
