"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 14 x 1,5 ";"6 ";"23,7 ";"3,0 ";"14 ";"CES-06-DN 05 ";"14,9 ";"";"689 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"25,0 ";"4,0 ";"14 ";"CES-06-DN 06 ";"13,5 ";"";"690 "
"05 ";"3/16'' ";"M 16 x 1,5 ";"8 ";"23,7 ";"3,0 ";"17 ";"CES-08-DN 05 ";"14,95 ";"";"691 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"25,5 ";"4,0 ";"17 ";"CES-08-DN 06 ";"11,63 ";"";"692 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"25,5 ";"4,0 ";"19 ";"CES-10-DN 06 ";"9,9 ";"";"693 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"10 ";"25,5 ";"5,5 ";"19 ";"CES-10-DN 08 ";"12,4 ";"";"694 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"10 ";"25,5 ";"7,0 ";"19 ";"CES-10-DN 10 ";"16,35 ";"";"695 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"27,5 ";"5,5 ";"22 ";"CES-12-DN 08 ";"12,7 ";"";"696 "
"10 ";"3/8'' ";"M 20 x 1,5 ";"12 ";"25,5 ";"7,0 ";"22 ";"CES-12-DN 10 ";"14 ";"";"697 "
"08 ";"5/16'' ";"M 22 x 1,5 ";"14 ";"27,5 ";"5,5 ";"22 ";"CES-14-DN 08 ";"15,9 ";"";"698 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"28,0 ";"7,0 ";"22 ";"CES-14-DN 10 ";"14,5 ";"";"699 "
"10 ";"3/8'' ";"M 24 x 1,5 ";"16 ";"28,0 ";"7,0 ";"24 ";"CES-16-DN 10 ";"15,9 ";"";"700 "
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"28,0 ";"9,5 ";"24 ";"CES-16-DN 12 ";"14,5 ";"";"701 "
"12 ";"1/2'' ";"M 30 x 2 ";"20 ";"33,0 ";"9,5 ";"30 ";"CES-20-DN 12 ";"19,5 ";"";"702 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"34,0 ";"12,5 ";"30 ";"CES-20-DN 16 ";"17,5 ";"";"703 "
"19 ";"3/4'' ";"M 30 x 2 ";"20 ";"37,0 ";"14,5 ";"30 ";"CES-20-DN 19 ";"19,63 ";"";"704 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"40,0 ";"14,5 ";"36 ";"CES-25-DN 19 ";"24 ";"";"705 "
"25 ";"1'' ";"M 36 x 2 ";"25 ";"40,0 ";"20,0 ";"36 ";"CES-25-DN 25 ";"34 ";"";"706 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"42,5 ";"20,0 ";"46 ";"CES-30-DN 25 ";"41 ";"";"707 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"38 ";"45,0 ";"25,5 ";"55 ";"CES-38-DN 31 ";"69,65 ";"";"708 "
