"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"M 12 x 1,5 ";"32,0 ";"19,0 ";"10,0 ";"12 ";"14 ";"EVGE-L-06-1/8''-NPT ";"11,12 ";"L ";"6103 "
"315 ";"6 ";"1/4'' NPT ";"M 12 x 1,5 ";"40,0 ";"19,0 ";"15,0 ";"14 ";"14 ";"EVGE-L-06-1/4''-NPT ";"12,48 ";"L ";"6104 "
"315 ";"8 ";"1/4'' NPT ";"M 14 x 1,5 ";"40,5 ";"20,0 ";"15,0 ";"14 ";"17 ";"EVGE-L-08-1/4''-NPT ";"12,48 ";"L ";"6105 "
"315 ";"10 ";"1/4'' NPT ";"M 16 x 1,5 ";"40,5 ";"20,5 ";"15,0 ";"14 ";"19 ";"EVGE-L-10-1/4''-NPT ";"13,68 ";"L ";"6106 "
"315 ";"12 ";"1/4'' NPT ";"M 18 x 1,5 ";"42,0 ";"22,0 ";"15,0 ";"14 ";"22 ";"EVGE-L-12-1/4''-NPT ";"15,31 ";"L ";"6107 "
"315 ";"12 ";"3/8'' NPT ";"M 18 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"22 ";"EVGE-L-12-3/8''-NPT ";"16,77 ";"L ";"6108 "
"315 ";"12 ";"1/2'' NPT ";"M 18 x 1,5 ";"50,0 ";"22,0 ";"20,0 ";"22 ";"22 ";"EVGE-L-12-1/2''-NPT ";"17 ";"L ";"6109 "
"315 ";"15 ";"3/8'' NPT ";"M 22 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"27 ";"EVGE-L-15-3/8''-NPT ";"18,36 ";"L ";"6110 "
"315 ";"15 ";"1/2'' NPT ";"M 22 x 1,5 ";"48,0 ";"22,0 ";"20,0 ";"22 ";"27 ";"EVGE-L-15-1/2''-NPT ";"22,68 ";"L ";"6111 "
"315 ";"18 ";"1/2'' NPT ";"M 26 x 1,5 ";"50,0 ";"24,0 ";"20,0 ";"22 ";"32 ";"EVGE-L-18-1/2''-NPT ";"35,69 ";"L ";"6112 "
"160 ";"22 ";"3/4'' NPT ";"M 30 x 2 ";"52,0 ";"24,5 ";"20,0 ";"27 ";"36 ";"EVGE-L-22-3/4''-NPT ";"43,82 ";"L ";"6113 "
"160 ";"28 ";"1'' NPT ";"M 36 x 2 ";"58,0 ";"25,5 ";"25,0 ";"36 ";"41 ";"EVGE-L-28-1''-NPT ";"69,03 ";"L ";"6114 "
"160 ";"35 ";"1 1/4'' NPT ";"M 45 x 2 ";"66,0 ";"32,0 ";"25,5 ";"46 ";"50 ";"EVGE-L-35-1 1/4''-NPT ";"115,04 ";"L ";"6115 "
"160 ";"42 ";"1 1/2'' NPT ";"M 52 x 2 ";"68,0 ";"32,0 ";"26,0 ";"50 ";"60 ";"EVGE-L-42-1 1/2''-NPT ";"125,27 ";"L ";"6116 "
"630 ";"6 ";"1/4'' NPT ";"M 14 x 1,5 ";"40,0 ";"19,0 ";"15,0 ";"14 ";"17 ";"EVGE-S-06-1/4''-NPT ";"13,65 ";"S ";"6117 "
"630 ";"8 ";"1/4'' NPT ";"M 16 x 1,5 ";"40,5 ";"20,0 ";"15,0 ";"14 ";"19 ";"EVGE-S-08-1/4''-NPT ";"14,32 ";"S ";"6118 "
"630 ";"10 ";"1/4'' NPT ";"M 18 x 1,5 ";"40,0 ";"20,5 ";"15,0 ";"14 ";"22 ";"EVGE-S-10-1/4''-NPT ";"15,26 ";"S ";"6119 "
"630 ";"10 ";"3/8'' NPT ";"M 18 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"22 ";"EVGE-S-10-3/8''-NPT ";"17,13 ";"S ";"6120 "
"630 ";"12 ";"1/4'' NPT ";"M 20 x 1,5 ";"42,0 ";"22,0 ";"15,0 ";"14 ";"24 ";"EVGE-S-12-1/4''-NPT ";"20,3 ";"S ";"6121 "
"630 ";"12 ";"3/8'' NPT ";"M 20 x 1,5 ";"43,0 ";"22,0 ";"15,3 ";"19 ";"24 ";"EVGE-S-12-3/8''-NPT ";"21,32 ";"S ";"6122 "
"630 ";"12 ";"1/2'' NPT ";"M 20 x 1,5 ";"50,0 ";"22,0 ";"20,0 ";"22 ";"24 ";"EVGE-S-12-1/2''-NPT ";"23,11 ";"S ";"6123 "
"630 ";"14 ";"1/2'' NPT ";"M 22 x 1,5 ";"48,5 ";"24,5 ";"20,0 ";"22 ";"27 ";"EVGE-S-14-1/2''-NPT ";"25,67 ";"S ";"6124 "
"400 ";"16 ";"1/2'' NPT ";"M 24 x 1,5 ";"54,0 ";"24,0 ";"20,0 ";"22 ";"30 ";"EVGE-S-16-1/2''-NPT ";"36,92 ";"S ";"6125 "
"400 ";"20 ";"3/4'' NPT ";"M 30 x 2 ";"58,0 ";"29,0 ";"20,0 ";"27 ";"36 ";"EVGE-S-20-3/4''-NPT ";"47,22 ";"S ";"6126 "
"400 ";"25 ";"1'' NPT ";"M 36 x 2 ";"68,0 ";"33,0 ";"25,0 ";"36 ";"46 ";"EVGE-S-25-1''-NPT ";"76,18 ";"S ";"6127 "
