"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  H";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/8'' ";"15,9 ";"10,4 ";"2,0 ";"KDW-1/8''-P ";"4,62 ";"P ";"12265 "
"G 1/4'' ";"20,6 ";"13,7 ";"2,0 ";"KDW-1/4''-P ";"4,62 ";"P ";"12266 "
"G 3/8'' ";"23,8 ";"17,3 ";"2,0 ";"KDW-3/8''-P ";"5,28 ";"P ";"12267 "
"G 1/2'' ";"23,8 ";"21,5 ";"2,0 ";"KDW-1/2''-P ";"6,27 ";"P ";"12268 "
"G 3/4'' ";"34,9 ";"27,1 ";"2,5 ";"KDW-3/4''-P ";"13,04 ";"P ";"12269 "
"G 1'' ";"42,8 ";"33,7 ";"2,5 ";"KDW-1''-P ";"19,97 ";"P ";"12270 "
"G 1 1/4'' ";"52,4 ";"42,9 ";"2,5 ";"KDW-1 1/4''-P ";"29,37 ";"P ";"12271 "
"G 1 1/2'' ";"58,6 ";"48,4 ";"2,5 ";"KDW-1 1/2''-P ";"35,8 ";"P ";"12272 "
"G 1/8'' ";"15,9 ";"10,4 ";"2,0 ";"KDW-1/8''-V ";"11,22 ";"V ";"12257 "
"G 1/4'' ";"20,6 ";"13,7 ";"2,0 ";"KDW-1/4''-V ";"11,22 ";"V ";"12258 "
"G 3/8'' ";"23,8 ";"17,3 ";"2,0 ";"KDW-3/8''-V ";"11,72 ";"V ";"12259 "
"G 1/2'' ";"23,8 ";"21,5 ";"2,0 ";"KDW-1/2''-V ";"12,87 ";"V ";"12260 "
"G 3/4'' ";"34,9 ";"27,1 ";"2,5 ";"KDW-3/4''-V ";"14,35 ";"V ";"12261 "
"G 1'' ";"42,8 ";"33,7 ";"2,5 ";"KDW-1''-V ";"29 ";"V ";"12262 "
"G 1 1/4'' ";"52,4 ";"42,9 ";"2,5 ";"KDW-1 1/4''-V ";"31 ";"V ";"12263 "
"G 1 1/2'' ";"58,6 ";"48,4 ";"2,5 ";"KDW-1 1/2''-V ";"44,55 ";"V ";"12264 "
