"    DN";"Grˆﬂe  Size  ";"Druck  Pressure  PB";"Ca. Maﬂe mm  Approx. Dimensions mm  G";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"11,5 ";"1/4'' ";"63 ";"1/4'' ";"50 ";"68 ";"97 ";"KH-G 1/4''-3 W-T ";"132,25 ";"";"10297 "
"12,5 ";"3/8'' ";"63 ";"3/8'' ";"50 ";"68 ";"97 ";"KH-G 3/8''-3 W-T ";"132,25 ";"";"10298 "
"12,5 ";"1/2'' ";"63 ";"1/2'' ";"50 ";"68 ";"97 ";"KH-G 1/2''-3 W-T ";"132,25 ";"";"10299 "
"15,0 ";"3/4'' ";"63 ";"3/4'' ";"64 ";"83 ";"127 ";"KH-G 3/4''-3 W-T ";"150,55 ";"";"10300 "
"20,0 ";"1'' ";"63 ";"1'' ";"66 ";"90 ";"127 ";"KH-G 1''-3 W-T ";"197,25 ";"";"10301 "
"25,0 ";"1 1/4'' ";"63 ";"1 1/4'' ";"80 ";"97 ";"145 ";"KH-G 1 1/4''-3 W-T ";"276,35 ";"";"10302 "
"32,0 ";"1 1/2'' ";"63 ";"1 1/2'' ";"83 ";"114 ";"145 ";"KH-G 1 1/2''-3 W-T ";"351,3 ";"";"10303 "
"40,0 ";"2'' ";"63 ";"2'' ";"96 ";"142 ";"205 ";"KH-G 2''-3 W-T ";"432,75 ";"";"10304 "
