"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/4''-19 ";"1/8''-28 ";"28,0 ";"12,0 ";"8 ";"6,0 ";"4,5 ";"19 ";"1050510-04-02 ";"5,3 ";"";"1519 "
"400 ";"3/8''-19 ";"1/8''-28 ";"30,5 ";"12,0 ";"8 ";"9,0 ";"4,5 ";"22 ";"1050510-06-02 ";"7,3 ";"";"1520 "
"400 ";"3/8''-19 ";"1/4''-19 ";"33,0 ";"12,0 ";"10 ";"9,0 ";"6 ";"22 ";"1050510-06-04 ";"6,6 ";"";"1521 "
"400 ";"1/2''-14 ";"1/8''-28 ";"34,0 ";"14,0 ";"8 ";"13,0 ";"4,5 ";"27 ";"1050510-08-02 ";"9,35 ";"";"11505 "
"400 ";"1/2''-14 ";"1/4''-19 ";"38,0 ";"14,0 ";"11 ";"12,5 ";"7 ";"27 ";"1050510-08-04 ";"9 ";"";"1522 "
"400 ";"1/2''-14 ";"3/8''-19 ";"40,0 ";"14,0 ";"12 ";"13,0 ";"9 ";"27 ";"1050510-08-06 ";"8,9 ";"";"1523 "
"400 ";"5/8''-14 ";"3/8''-19 ";"40,0 ";"14,0 ";"12 ";"14,0 ";"8 ";"30 ";"1050510-10-06 ";"16,8 ";"";"1524 "
"400 ";"5/8''-14 ";"1/2''-14 ";"42,0 ";"16,0 ";"14 ";"14,5 ";"11,5 ";"30 ";"1050510-10-08 ";"14,15 ";"";"1525 "
"400 ";"3/4''-14 ";"1/4''-19 ";"39,5 ";"16,0 ";"10 ";"18,0 ";"6 ";"32 ";"1050510-12-04 ";"17,95 ";"";"1526 "
"400 ";"3/4''-14 ";"3/8''-19 ";"41,0 ";"16,0 ";"12 ";"18,0 ";"9 ";"32 ";"1050510-12-06 ";"15,15 ";"";"1527 "
"400 ";"3/4''-14 ";"1/2''-14 ";"45,0 ";"16,0 ";"14 ";"18,0 ";"13 ";"32 ";"1050510-12-08 ";"14,1 ";"";"1528 "
"400 ";"3/4''-14 ";"5/8''-14 ";"45,0 ";"16,0 ";"16 ";"17,0 ";"14,5 ";"32 ";"1050510-12-10 ";"16,05 ";"";"1529 "
"400 ";"1''-11 ";"3/8''-19 ";"47,0 ";"18,0 ";"12 ";"23,0 ";"9 ";"41 ";"1050510-16-06 ";"24,5 ";"";"1530 "
"400 ";"1''-11 ";"1/2''-14 ";"48,0 ";"18,0 ";"14 ";"23,5 ";"13 ";"41 ";"1050510-16-08 ";"23,5 ";"";"1531 "
"400 ";"1''-11 ";"3/4''-14 ";"53,0 ";"18,0 ";"16 ";"23,5 ";"17 ";"41 ";"1050510-16-12 ";"22 ";"";"1532 "
"200 ";"1 1/4''-11 ";"1/2''-14 ";"51,0 ";"20,0 ";"14 ";"30,0 ";"13 ";"50 ";"1050510-20-08 ";"37,95 ";"";"1533 "
"200 ";"1 1/4''-11 ";"3/4''-14 ";"53,5 ";"20,0 ";"16 ";"30,5 ";"18 ";"50 ";"1050510-20-12 ";"33,5 ";"";"1534 "
"200 ";"1 1/4''-11 ";"1''-11 ";"58,0 ";"20,0 ";"18 ";"30,5 ";"23 ";"50 ";"1050510-20-16 ";"31,5 ";"";"1535 "
"200 ";"1 1/2''-11 ";"3/4''-14 ";"55,0 ";"22,0 ";"16 ";"37,0 ";"17 ";"55 ";"1050510-24-12 ";"56,8 ";"";"1536 "
"200 ";"1 1/2''-11 ";"1''-11 ";"57,0 ";"22,0 ";"18 ";"37,0 ";"23,5 ";"55 ";"1050510-24-16 ";"50,75 ";"";"1537 "
"200 ";"1 1/2''-11 ";"1 1/4''-11 ";"61,0 ";"22,0 ";"20 ";"37,0 ";"30 ";"55 ";"1050510-24-20 ";"48,5 ";"";"1538 "
"100 ";"2''-11 ";"1''-11 ";"62,0 ";"25,0 ";"18 ";"43,0 ";"23,5 ";"70 ";"1050510-32-16 ";"99,9 ";"";"1539 "
"100 ";"2''-11 ";"1 1/4''-11 ";"62,0 ";"25,0 ";"20 ";"45,0 ";"30 ";"70 ";"1050510-32-20 ";"92,5 ";"";"1540 "
"100 ";"2''-11 ";"1 1/2''-11 ";"64,0 ";"25,0 ";"22 ";"45,0 ";"37 ";"70 ";"1050510-32-24 ";"82 ";"";"1541 "
