"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"G 1/8'' ";"28,0 ";"13,0 ";"8 ";"14 ";"17 ";"GE-SR-06-G 1/8''-SC ";"7,7 ";"S ";"3828 "
"630 ";"6 ";"G 1/4'' ";"28,0 ";"13,0 ";"12 ";"19 ";"17 ";"GE-SR-06-G 1/4''-SC ";"7,7 ";"S ";"3829 "
"630 ";"6 ";"G 3/8'' ";"30,0 ";"15,5 ";"12 ";"22 ";"19 ";"GE-SR-06-G 3/8''-SC ";"9,95 ";"S ";"3830 "
"630 ";"6 ";"G 1/2'' ";"34,0 ";"17,0 ";"14 ";"27 ";"19 ";"GE-SR-06-G 1/2''-SC ";"15,78 ";"S ";"3831 "
"630 ";"8 ";"G 1/8'' ";"30,0 ";"14,0 ";"8 ";"17 ";"19 ";"GE-SR-08-G 1/8''-SC ";"10,64 ";"S ";"3832 "
"630 ";"8 ";"G 1/4'' ";"30,0 ";"15,0 ";"12 ";"19 ";"19 ";"GE-SR-08-G 1/4''-SC ";"8,93 ";"S ";"3833 "
"630 ";"8 ";"G 3/8'' ";"31,5 ";"15,5 ";"12 ";"22 ";"19 ";"GE-SR-08-G 3/8''-SC ";"10,23 ";"S ";"3834 "
"630 ";"8 ";"G 1/2'' ";"31,5 ";"15,0 ";"14 ";"27 ";"19 ";"GE-SR-08-G 1/2''-SC ";"15,78 ";"S ";"3835 "
"630 ";"10 ";"G 1/8'' ";"31,0 ";"13,5 ";"8 ";"19 ";"22 ";"GE-SR-10-G 1/8''-SC ";"13,29 ";"S ";"3836 "
"630 ";"10 ";"G 1/4'' ";"32,0 ";"14,5 ";"12 ";"19 ";"22 ";"GE-SR-10-G 1/4''-SC ";"11,81 ";"S ";"3837 "
"630 ";"10 ";"G 3/8'' ";"33,0 ";"15,0 ";"12 ";"22 ";"22 ";"GE-SR-10-G 3/8''-SC ";"11,5 ";"S ";"3838 "
"630 ";"10 ";"G 1/2'' ";"32,0 ";"13,5 ";"14 ";"27 ";"22 ";"GE-SR-10-G 1/2''-SC ";"16,67 ";"S ";"3839 "
"630 ";"10 ";"G 3/4'' ";"35,0 ";"17,5 ";"16 ";"32 ";"22 ";"GE-SR-10-G 3/4''-SC ";"26,89 ";"S ";"3840 "
"630 ";"12 ";"G 1/4'' ";"34,5 ";"16,5 ";"12 ";"22 ";"24 ";"GE-SR-12-G 1/4''-SC ";"13,98 ";"S ";"3841 "
"630 ";"12 ";"G 3/8'' ";"33,0 ";"17,0 ";"12 ";"22 ";"24 ";"GE-SR-12-G 3/8''-SC ";"12,7 ";"S ";"3842 "
"630 ";"12 ";"G 1/2'' ";"34,0 ";"17,5 ";"14 ";"27 ";"24 ";"GE-SR-12-G 1/2''-SC ";"18,43 ";"S ";"3843 "
"630 ";"12 ";"G 3/4'' ";"36,0 ";"17,5 ";"16 ";"32 ";"24 ";"GE-SR-12-G 3/4''-SC ";"27,17 ";"S ";"3844 "
