"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"58 ";"29,0 ";"17 ";"17 ";"14 ";"RD-L-06-SC ";"56,88 ";"L ";"7750 "
"250 ";"8 ";"59 ";"30,0 ";"17 ";"19 ";"17 ";"RD-L-08-SC ";"62,24 ";"L ";"7751 "
"250 ";"10 ";"70 ";"40,5 ";"22 ";"24 ";"19 ";"RD-L-10-SC ";"77,57 ";"L ";"7752 "
"250 ";"12 ";"73 ";"43,5 ";"27 ";"30 ";"22 ";"RD-L-12-SC ";"85,48 ";"L ";"7753 "
"250 ";"15 ";"78 ";"47,5 ";"27 ";"30 ";"27 ";"RD-L-15-SC ";"101,86 ";"L ";"7754 "
"160 ";"18 ";"84 ";"51,5 ";"36 ";"36 ";"32 ";"RD-L-18-SC ";"133,66 ";"L ";"7755 "
"160 ";"22 ";"94 ";"61,5 ";"41 ";"46 ";"36 ";"RD-L-22-SC ";"177,36 ";"L ";"7756 "
"100 ";"28 ";"103 ";"69,5 ";"50 ";"55 ";"41 ";"RD-L-28-SC ";"226,93 ";"L ";"7757 "
"100 ";"35 ";"118 ";"74,5 ";"60 ";"60 ";"50 ";"RD-L-35-SC ";"311,66 ";"L ";"7758 "
"100 ";"42 ";"122 ";"74,0 ";"65 ";"70 ";"60 ";"RD-L-42-SC ";"466,25 ";"L ";"7759 "
"630 ";"6 ";"64 ";"34,5 ";"19 ";"19 ";"17 ";"RD-S-06-SC ";"64,79 ";"S ";"7760 "
"630 ";"8 ";"64 ";"34,5 ";"19 ";"22 ";"19 ";"RD-S-08-SC ";"67,35 ";"S ";"7761 "
"630 ";"10 ";"73 ";"40,5 ";"24 ";"27 ";"22 ";"RD-S-10-SC ";"75,26 ";"S ";"7762 "
"630 ";"12 ";"75 ";"42,5 ";"27 ";"30 ";"24 ";"RD-S-12-SC ";"83,49 ";"S ";"7763 "
"630 ";"14 ";"83 ";"47,5 ";"27 ";"32 ";"27 ";"RD-S-14-SC ";"95,15 ";"S ";"7764 "
"400 ";"16 ";"87 ";"50,5 ";"32 ";"36 ";"30 ";"RD-S-16-SC ";"115,61 ";"S ";"7765 "
"400 ";"20 ";"98 ";"54,5 ";"41 ";"46 ";"36 ";"RD-S-20-SC ";"177,6 ";"S ";"7766 "
"400 ";"25 ";"107 ";"58,5 ";"46 ";"50 ";"46 ";"RD-S-25-SC ";"215,12 ";"S ";"7767 "
"250 ";"30 ";"123 ";"69,5 ";"55 ";"60 ";"50 ";"RD-S-30-SC ";"317,66 ";"S ";"7768 "
"250 ";"38 ";"140 ";"75,5 ";"65 ";"70 ";"60 ";"RD-S-38-SC ";"456,11 ";"S ";"7769 "
