"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/4''-19 ";"33 ";"14 ";"17 ";"1252531-04-04 ";"19 ";"";"2370 "
"350 ";"6 ";"1/4'' ";"7/16''-20 ";"1/2''-14 ";"40 ";"14 ";"27 ";"1252531-04-08 ";"29,9 ";"";"2371 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/4''-19 ";"33 ";"14 ";"17 ";"1252531-05-04 ";"19 ";"";"2372 "
"350 ";"8 ";"5/16'' ";"1/2''-20 ";"1/2''-14 ";"40 ";"14 ";"27 ";"1252531-05-08 ";"29,9 ";"";"2373 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/4''-19 ";"30 ";"14 ";"17 ";"1252531-06-04 ";"19 ";"";"2374 "
"350 ";"10 ";"3/8'' ";"9/16''-18 ";"1/2''-14 ";"40 ";"14 ";"27 ";"1252531-06-08 ";"27,5 ";"";"2375 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/4''-19 ";"31 ";"17 ";"22 ";"1252531-08-04 ";"24,4 ";"";"2376 "
"350 ";"12 ";"1/2'' ";"3/4''-16 ";"1/2''-14 ";"44 ";"17 ";"27 ";"1252531-08-08 ";"25,5 ";"";"2377 "
