"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"";"";"I-DSN-DN 19 ";"";"";"11741 "
"25 ";"1'' ";"";"";"I-DSN-DN 25 ";"";"";"11742 "
"31 ";"1 1/4'' ";"26,0 ";"25,0 ";"I-DSN-DN 31 ";"147,5 ";"";"11743 "
"38 ";"1 1/2'' ";"30,0 ";"31,5 ";"I-DSN-DN 38 ";"159,5 ";"";"11744 "
"51 ";"2'' ";"34,0 ";"42,0 ";"I-DSN-DN 51 ";"188,5 ";"";"11745 "
