"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maße  Approx. Dimensions  D";"Ca. Maße  Approx. Dimensions  L";"Für Schlauchtyp  For Hose Type  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"38 ";"56 ";"R 15 ";"P7-I-DN 19 ";"35,2 ";"";"1093 "
"25 ";"1'' ";"46 ";"75 ";"R 15 ";"P7-I-DN 25 ";"55,9 ";"";"1094 "
"31 ";"1 1/4'' ";"60 ";"85 ";"R 15 ";"P7-I-DN 31 ";"84,2 ";"";"1095 "
"38 ";"1 1/2'' ";"70 ";"100 ";"R 15 ";"P7-I-DN 38 ";"135,1 ";"";"1096 "
