"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"12,0 ";"19,0 ";"12 ";"TV-L-06-OMD ";"14,7 ";"L ";"3006 "
"500 ";"8 ";"14,0 ";"21,0 ";"12 ";"TV-L-08-OMD ";"14,74 ";"L ";"3007 "
"500 ";"10 ";"15,0 ";"22,0 ";"14 ";"TV-L-10-OMD ";"16,61 ";"L ";"3008 "
"400 ";"12 ";"17,0 ";"24,0 ";"17 ";"TV-L-12-OMD ";"20,03 ";"L ";"3009 "
"400 ";"15 ";"21,0 ";"28,0 ";"19 ";"TV-L-15-OMD ";"29,63 ";"L ";"3010 "
"400 ";"18 ";"23,5 ";"31,0 ";"24 ";"TV-L-18-OMD ";"35,5 ";"L ";"3011 "
"250 ";"22 ";"27,5 ";"35,0 ";"27 ";"TV-L-22-OMD ";"55,89 ";"L ";"3012 "
"250 ";"28 ";"30,5 ";"38,0 ";"36 ";"TV-L-28-OMD ";"90,94 ";"L ";"3013 "
"250 ";"35 ";"34,5 ";"45,0 ";"41 ";"TV-L-35-OMD ";"169,31 ";"L ";"3014 "
"250 ";"42 ";"40,0 ";"51,0 ";"50 ";"TV-L-42-OMD ";"244,94 ";"L ";"3015 "
"100 ";"4 ";"11,0 ";"15,0 ";"9 ";"TV-LL-04-OMD ";"21,5 ";"LL ";"3003 "
"100 ";"6 ";"9,5 ";"15,0 ";"9 ";"TV-LL-06-OMD ";"21,99 ";"LL ";"3004 "
"100 ";"8 ";"11,5 ";"17,0 ";"12 ";"TV-LL-08-OMD ";"23,71 ";"LL ";"3005 "
"800 ";"6 ";"16,0 ";"23,0 ";"12 ";"TV-S-06-OMD ";"15,3 ";"S ";"3016 "
"800 ";"8 ";"17,0 ";"24,0 ";"14 ";"TV-S-08-OMD ";"16,45 ";"S ";"3017 "
"800 ";"10 ";"17,5 ";"25,0 ";"17 ";"TV-S-10-OMD ";"20,39 ";"S ";"3018 "
"630 ";"12 ";"21,5 ";"29,0 ";"17 ";"TV-S-12-OMD ";"26,28 ";"S ";"3019 "
"630 ";"14 ";"22,0 ";"30,0 ";"19 ";"TV-S-14-OMD ";"27,22 ";"S ";"3020 "
"630 ";"16 ";"24,4 ";"33,0 ";"24 ";"TV-S-16-OMD ";"37,14 ";"S ";"3021 "
"420 ";"20 ";"26,5 ";"37,0 ";"27 ";"TV-S-20-OMD ";"56,2 ";"S ";"3022 "
"420 ";"25 ";"30,0 ";"42,0 ";"36 ";"TV-S-25-OMD ";"90,12 ";"S ";"3023 "
"420 ";"30 ";"35,5 ";"49,0 ";"41 ";"TV-S-30-OMD ";"149,79 ";"S ";"3024 "
"420 ";"38 ";"41,0 ";"57,0 ";"50 ";"TV-S-38-OMD ";"247,14 ";"S ";"3025 "
