"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"LE-L-06-M 10x1-k ";"26,59 ";"L ";"5784 "
"315 ";"8 ";"M 12 x 1,5 keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"LE-L-08-M 12x1,5-k ";"28,68 ";"L ";"5785 "
"315 ";"10 ";"M 14 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"LE-L-10-M 14x1,5-k ";"31,7 ";"L ";"5786 "
"315 ";"12 ";"M 16 x 1,5 keg ";"32 ";"17,0 ";"28 ";"12 ";"17 ";"22 ";"LE-L-12-M 16x1,5-k ";"37,04 ";"L ";"5787 "
"315 ";"15 ";"M 18 x 1,5 keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"LE-L-15-M 18x1,5-k ";"50,77 ";"L ";"5788 "
"315 ";"18 ";"M 22 x 1,5 keg ";"40 ";"23,0 ";"36 ";"14 ";"24 ";"32 ";"LE-L-18-M 22x1,5-k ";"81,81 ";"L ";"5789 "
"100 ";"4 ";"M 6 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"LE-LL-04-M 6x1-k ";"";"LL ";"5777 "
"100 ";"4 ";"M 8 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"LE-LL-04-M 8x1-k ";"";"LL ";"5778 "
"100 ";"6 ";"M 6 x 1 keg ";"";"";"";"8 ";"9 ";"12 ";"LE-LL-06-M 6x1-k ";"";"LL ";"5779 "
"100 ";"6 ";"M 8 x 1 keg ";"";"";"";"8 ";"9 ";"12 ";"LE-LL-06-M 8x1-k ";"";"LL ";"5780 "
"100 ";"6 ";"M 10 x 1 keg ";"21 ";"9,5 ";"17 ";"8 ";"9 ";"12 ";"LE-LL-06-M 10x1-k ";"";"LL ";"5781 "
"100 ";"8 ";"M 8 x 1 keg ";"";"";"";"8 ";"12 ";"14 ";"LE-LL-08-M 8x1-k ";"";"LL ";"5782 "
"100 ";"8 ";"M 10 x 1 keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"LE-LL-08-M 10x1-k ";"";"LL ";"5783 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"31 ";"16,0 ";"26 ";"12 ";"12 ";"17 ";"LE-S-06-M 12x1,5-k ";"28,2 ";"S ";"5790 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"LE-S-08-M 14x1,5-k ";"31,19 ";"S ";"5791 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"LE-S-10-M 16x1,5-k ";"36,94 ";"S ";"5792 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"LE-S-12-M 18x1,5-k ";"41,82 ";"S ";"5793 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"40 ";"22,0 ";"34 ";"14 ";"19 ";"27 ";"LE-S-14-M 20x1,5-k ";"51,59 ";"S ";"5794 "
"400 ** ";"16 ";"M 22 x 1,5 keg ";"43 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"LE-S-16-M 22x1,5-k ";"79,25 ";"S ";"5795 "
