"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"12,0 ";"26,0 ";"19,0 ";"12 ";"14 ";"EVL-L-06-OMD ";"25,55 ";"L ";"7332 "
"315 ";"8 ";"M 14 x 1,5 ";"14,0 ";"27,5 ";"21,0 ";"12 ";"17 ";"EVL-L-08-OMD ";"27,69 ";"L ";"7333 "
"315 ";"10 ";"M 16 x 1,5 ";"15,0 ";"29,0 ";"22,0 ";"14 ";"19 ";"EVL-L-10-OMD ";"30,76 ";"L ";"7334 "
"315 ";"12 ";"M 18 x 1,5 ";"17,0 ";"29,5 ";"24,0 ";"17 ";"22 ";"EVL-L-12-OMD ";"35,96 ";"L ";"7335 "
"315 ";"15 ";"M 22 x 1,5 ";"21,0 ";"32,5 ";"28,0 ";"19 ";"27 ";"EVL-L-15-OMD ";"47,65 ";"L ";"7336 "
"315 ";"18 ";"M 26 x 1,5 ";"23,5 ";"35,5 ";"31,0 ";"24 ";"32 ";"EVL-L-18-OMD ";"77,35 ";"L ";"7337 "
"160 ";"22 ";"M 30 x 2 ";"27,5 ";"38,5 ";"35,0 ";"27 ";"36 ";"EVL-L-22-OMD ";"79,08 ";"L ";"7338 "
"160 ";"28 ";"M 36 x 2 ";"30,5 ";"43,5 ";"38,0 ";"36 ";"41 ";"EVL-L-28-OMD ";"141,59 ";"L ";"7339 "
"160 ";"35 ";"M 45 x 2 ";"34,5 ";"54,0 ";"45,0 ";"41 ";"50 ";"EVL-L-35-OMD ";"210,87 ";"L ";"7340 "
"160 ";"42 ";"M 52 x 2 ";"40,0 ";"56,0 ";"51,0 ";"50 ";"60 ";"EVL-L-42-OMD ";"277,48 ";"L ";"7341 "
"630 ";"6 ";"M 14 x 1,5 ";"16,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"EVL-S-06-OMD ";"26,17 ";"S ";"7342 "
"630 ";"8 ";"M 16 x 1,5 ";"17,0 ";"27,5 ";"24,0 ";"14 ";"19 ";"EVL-S-08-OMD ";"29,14 ";"S ";"7343 "
"630 ";"10 ";"M 18 x 1,5 ";"17,5 ";"30,0 ";"25,0 ";"17 ";"22 ";"EVL-S-10-OMD ";"37,73 ";"S ";"7344 "
"630 ";"12 ";"M 20 x 1,5 ";"21,5 ";"31,0 ";"29,0 ";"17 ";"24 ";"EVL-S-12-OMD ";"41,82 ";"S ";"7345 "
"630 ";"14 ";"M 22 x 1,5 ";"22,0 ";"35,0 ";"30,0 ";"19 ";"27 ";"EVL-S-14-OMD ";"47,8 ";"S ";"7346 "
"400 ";"16 ";"M 24 x 1,5 ";"24,5 ";"36,5 ";"33,0 ";"24 ";"30 ";"EVL-S-16-OMD ";"78,17 ";"S ";"7347 "
"400 ";"20 ";"M 30 x 2 ";"26,5 ";"44,5 ";"37,0 ";"27 ";"36 ";"EVL-S-20-OMD ";"93,88 ";"S ";"7348 "
"400 ";"25 ";"M 36 x 2 ";"30,0 ";"50,0 ";"42,0 ";"36 ";"46 ";"EVL-S-25-OMD ";"146,83 ";"S ";"7349 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"55,0 ";"49,0 ";"41 ";"50 ";"EVL-S-30-OMD ";"183,2 ";"S ";"7350 "
"250 ";"38 ";"M 52 x 2 ";"41,0 ";"63,0 ";"57,0 ";"50 ";"60 ";"EVL-S-38-OMD ";"269,06 ";"S ";"7351 "
