"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"M 30 x 2 ";"20 ";"37,5 ";"14,5 ";"32 ";"I-CES-20-DN 19 ";"29,2 ";"";"1228 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"36,0 ";"14,5 ";"36 ";"I-CES-25-DN 19 ";"35 ";"";"1229 "
"25 ";"1'' ";"M 36 x 2 ";"25 ";"43,0 ";"20,0 ";"36 ";"I-CES-25-DN 25 ";"50,05 ";"";"1230 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"40,0 ";"20,0 ";"46 ";"I-CES-30-DN 25 ";"50,05 ";"";"1231 "
"31 ";"1 1/4'' ";"M 42 x 2 ";"30 ";"47,0 ";"25,0 ";"46 ";"I-CES-30-DN 31 ";"85,8 ";"";"11724 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"38 ";"44,5 ";"25,0 ";"55 ";"I-CES-38-DN 31 ";"85 ";"";"1232 "
