"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"12,0 ";"20 ";"19,0 ";"8 ";"12 ";"WE-L-06-M 10x1-k-OMD ";"10,04 ";"L ";"5229 "
"315 ";"8 ";"M 12 x 1,5 keg ";"14,0 ";"26 ";"21,0 ";"12 ";"12 ";"WE-L-08-M 12x1,5-k-OMD ";"11,47 ";"L ";"5230 "
"315 ";"10 ";"M 12 x 1,5 keg ";"15,0 ";"27 ";"";"12 ";"14 ";"WE-L-10-M 12x1,5-k-OMD ";"13,9 ";"L ";"5231 "
"315 ";"10 ";"M 14 x 1,5 keg ";"14,0 ";"27 ";"22,0 ";"12 ";"14 ";"WE-L-10-M 14x1,5-k-OMD ";"12,44 ";"L ";"5232 "
"315 ";"10 ";"M 16 x 1,5 keg ";"14,0 ";"28 ";"22,0 ";"12 ";"14 ";"WE-L-10-M 16x1,5-k-OMD ";"15,14 ";"L ";"12150 "
"315 ";"12 ";"M 14 x 1,5 keg ";"17,0 ";"27 ";"24,0 ";"12 ";"17 ";"WE-L-12-M 14x1,5-k-OMD ";"15,06 ";"L ";"11897 "
"315 ";"12 ";"M 16 x 1,5 keg ";"17,0 ";"28 ";"24,0 ";"12 ";"17 ";"WE-L-12-M 16x1,5-k-OMD ";"12,45 ";"L ";"5233 "
"315 ";"15 ";"M 18 x 1,5 keg ";"21,0 ";"32 ";"28,0 ";"12 ";"19 ";"WE-L-15-M 18x1,5-k-OMD ";"19,3 ";"L ";"5234 "
"315 ";"18 ";"M 22 x 1,5 keg ";"23,0 ";"36 ";"31,0 ";"14 ";"24 ";"WE-L-18-M 22x1,5-k-OMD ";"25,05 ";"L ";"5235 "
"100 ";"4 ";"M 6 x 1 keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-04-M 6x1-k-OMD ";"13,96 ";"LL ";"5220 "
"100 ";"4 ";"M 8 x 1 keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-04-M 8x1-k-OMD ";"11,15 ";"LL ";"5221 "
"100 ";"4 ";"M 10 x 1 keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-04-M 10x1-k-OMD ";"13,96 ";"LL ";"5222 "
"100 ";"6 ";"M 6 x 1 keg ";"10,0 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-06-M 6x1-k-OMD ";"14,09 ";"LL ";"5223 "
"100 ";"6 ";"M 8 x 1 keg ";"10,0 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-06-M 8x1-k-OMD ";"14,09 ";"LL ";"5224 "
"100 ";"6 ";"M 10 x 1 keg ";"9,5 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-06-M 10x1-k-OMD ";"11,23 ";"LL ";"5225 "
"100 ";"8 ";"M 6 x 1 keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"WE-LL-08-M 6x1-k-OMD ";"14,14 ";"LL ";"5226 "
"100 ";"8 ";"M 8 x 1 keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"WE-LL-08-M 8x1-k-OMD ";"14,14 ";"LL ";"5227 "
"100 ";"8 ";"M 10 x 1 keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"WE-LL-08-M 10x1-k-OMD ";"11,07 ";"LL ";"5228 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"16,0 ";"26 ";"23,0 ";"12 ";"12 ";"WE-S-06-M 12x1,5-k-OMD ";"12,45 ";"S ";"5236 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"17,0 ";"27 ";"24,0 ";"12 ";"14 ";"WE-S-08-M 14x1,5-k-OMD ";"14,08 ";"S ";"5237 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"17,5 ";"28 ";"25,0 ";"12 ";"17 ";"WE-S-10-M 16x1,5-k-OMD ";"16,92 ";"S ";"5238 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"21,5 ";"28 ";"29,0 ";"12 ";"17 ";"WE-S-12-M 18x1,5-k-OMD ";"21,6 ";"S ";"5239 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"22,0 ";"32 ";"30,0 ";"14 ";"19 ";"WE-S-14-M 20x1,5-k-OMD ";"26,25 ";"S ";"5240 "
"630 ** ";"16 ";"M 22 x 1,5 keg ";"24,5 ";"32 ";"32,0 ";"14 ";"24 ";"WE-S-16-M 22x1,5-k-OMD ";"31,82 ";"S ";"11898 "
