"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"1/8''-27 ";"20,0 ";"20,0 ";"5,0 ";"12 ";"1350511-02 ";"10 ";"";"11189 "
"420 ";"1/4''-18 ";"28,0 ";"28,0 ";"7,0 ";"14 ";"1350511-04 ";"12,25 ";"";"11190 "
"420 ";"3/8''-18 ";"31,0 ";"31,0 ";"10,0 ";"19 ";"1350511-06 ";"16,25 ";"";"11191 "
"420 ";"1/2''-14 ";"35,0 ";"35,0 ";"14,0 ";"24 ";"1350511-08 ";"23,75 ";"";"11192 "
"420 ";"3/4''-14 ";"40,0 ";"40,0 ";"18,0 ";"36 ";"1350511-12 ";"45 ";"";"11193 "
"420 ";"1''-11,5 ";"50,0 ";"50,0 ";"24,0 ";"41 ";"1350511-16 ";"80 ";"";"11194 "
"315 ";"1 1/4''-11,5 ";"56,0 ";"56,0 ";"30,0 ";"50 ";"1350511-20 ";"165 ";"";"11195 "
"315 ";"1 1/2''-11,5 ";"59,0 ";"59,0 ";"37,0 ";"50 ";"1350511-24 ";"189 ";"";"11196 "
"315 ";"2''-11,5 ";"76,0 ";"76,0 ";"45,0 ";"65 ";"1350511-32 ";"395 ";"";"11197 "
