"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW";"Ca. Maﬂe  Approx. Dimensions  SW1";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/4''-19 ";"1/4''-19 ";"27 ";"31,5 ";"14 ";"19 ";"10,77 x 2,62 ";"1350501-04-04 ";"23,7 ";"";"1981 "
"400 ";"3/8''-19 ";"3/8''-19 ";"29 ";"37,0 ";"19 ";"22 ";"13,94 x 2,62 ";"1350501-06-06 ";"34,2 ";"";"1982 "
"400 ";"1/2''-14 ";"3/8''-19 ";"32 ";"43,0 ";"22 ";"27 ";"17,86 x 2,62 ";"1350501-06-08 ";"49,5 ";"";"1983 "
"400 ";"3/8''-19 ";"1/2''-14 ";"34 ";"40,0 ";"22 ";"22 ";"13,94 x 2,62 ";"1350501-08-06 ";"47,5 ";"";"1984 "
"400 ";"1/2''-14 ";"1/2''-14 ";"34 ";"43,0 ";"22 ";"27 ";"17,86 x 2,62 ";"1350501-08-08 ";"49,5 ";"";"1985 "
"400 ";"3/4''-14 ";"3/4''-14 ";"41 ";"50,0 ";"27 ";"36 ";"23,47 x 2,62 ";"1350501-12-12 ";"59,5 ";"";"1986 "
"400 ";"1''-11 ";"1''-11 ";"46 ";"53,0 ";"33 ";"41 ";"29,74 x 2,62 ";"1350501-16-16 ";"89,5 ";"";"1987 "
