"Druck  Pressure  PN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"1/8''-27 ";"20,0 ";"22,0 ";"5,0 ";"17 ";"1350512-02 ";"26,9 ";"";"11207 "
"420 ";"1/4''-18 ";"22,5 ";"30,0 ";"7,0 ";"19 ";"1350512-04 ";"26,9 ";"";"11208 "
"420 ";"3/8''-18 ";"26,3 ";"32,0 ";"10,0 ";"24 ";"1350512-06 ";"35,2 ";"";"11209 "
"420 ";"1/2''-14 ";"31,0 ";"37,0 ";"14,0 ";"27 ";"1350512-08 ";"42 ";"";"11210 "
"420 ";"3/4''-14 ";"33,5 ";"43,0 ";"18,0 ";"36 ";"1350512-12 ";"49 ";"";"11211 "
"420 ";"1''-11,5 ";"43,0 ";"50,0 ";"24,0 ";"41 ";"1350512-16 ";"61,2 ";"";"11212 "
"315 ";"1 1/4''-11,5 ";"51,0 ";"56,0 ";"30,0 ";"50 ";"1350512-20 ";"165,7 ";"";"11213 "
"315 ";"1 1/2''-11,5 ";"53,0 ";"67,0 ";"36,0 ";"65 ";"1350512-24 ";"517 ";"";"11214 "
