"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"18,0 ";"18,0 ";"4,0 ";"12 ";"";"4250511-02 ";"62 ";"";"1694 "
"400 ";"1/4''-19 ";"23,5 ";"23,5 ";"6,0 ";"14 ";"19 ";"4250511-04 ";"62 ";"";"1695 "
"400 ";"3/8''-19 ";"25,5 ";"25,5 ";"8,0 ";"17 ";"22 ";"4250511-06 ";"66,3 ";"";"1696 "
"400 ";"1/2''-14 ";"29,5 ";"29,5 ";"11,0 ";"19 ";"27 ";"4250511-08 ";"84,6 ";"";"1697 "
"400 ";"3/4''-14 ";"37,0 ";"37,0 ";"16,0 ";"27 ";"32 ";"4250511-12 ";"126,3 ";"";"1698 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"22,0 ";"36 ";"41 ";"4250511-16 ";"162 ";"";"1699 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"28,0 ";"41 ";"50 ";"4250511-20 ";"351,9 ";"";"1700 "
"200 ";"1 1/2''-11 ";"50,0 ";"50,0 ";"33,5 ";"50 ";"55 ";"4250511-24 ";"449 ";"";"1701 "
"";"2''-11 ";"";"";"";"";"70 ";"4250511-32 ";"";"";"1702 "
