"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"1/8''-28 ";"37,0 ";"16,0 ";"3,0 ";"14 ";"DKR-1/8''-45∞-DN 05 ";"19,2 ";"";"475 "
"06 ";"1/4'' ";"1/8''-28 ";"39,0 ";"16,0 ";"4,0 ";"14 ";"DKR-1/8''-45∞-DN 06 ";"18,75 ";"";"476 "
"05 ";"3/16'' ";"1/4''-19 ";"36,5 ";"15,0 ";"3,0 ";"17 ";"DKR-1/4''-45∞-DN 05 ";"19,3 ";"";"477 "
"06 ";"1/4'' ";"1/4''-19 ";"36,5 ";"15,0 ";"4,0 ";"17 ";"DKR-1/4''-45∞-DN 06 ";"16,7 ";"";"478 "
"08 ";"5/16'' ";"1/4''-19 ";"47,0 ";"20,0 ";"5,5 ";"19 ";"DKR-1/4''-45∞-DN 08 ";"24 ";"";"479 "
"10 ";"3/8'' ";"1/4''-19 ";"44,0 ";"22,5 ";"6,0 ";"19 ";"DKR-1/4''-45∞-DN 10 ";"24 ";"";"480 "
"06 ";"1/4'' ";"3/8''-19 ";"34,0 ";"16,0 ";"4,0 ";"19 ";"DKR-3/8''-45∞-DN 06 ";"23,5 ";"";"481 "
"08 ";"5/16'' ";"3/8''-19 ";"40,0 ";"15,0 ";"5,5 ";"19 ";"DKR-3/8''-45∞-DN 08 ";"20 ";"";"482 "
"10 ";"3/8'' ";"3/8''-19 ";"40,0 ";"15,0 ";"7,0 ";"19 ";"DKR-3/8''-45∞-DN 10 ";"19,15 ";"";"483 "
"12 ";"1/2'' ";"3/8''-19 ";"58,5 ";"25,5 ";"9,5 ";"22 ";"DKR-3/8''-45∞-DN 12 ";"24 ";"";"484 "
"06 ";"1/4'' ";"1/2''-14 ";"";"";"4,0 ";"27 ";"DKR-1/2''-45∞-DN 06 ";"";"";"12296 "
"10 ";"3/8'' ";"1/2''-14 ";"54,0 ";"20,5 ";"7,0 ";"27 ";"DKR-1/2''-45∞-DN 10 ";"22,65 ";"";"485 "
"12 ";"1/2'' ";"1/2''-14 ";"54,0 ";"20,5 ";"9,5 ";"27 ";"DKR-1/2''-45∞-DN 12 ";"22,45 ";"";"486 "
"16 ";"5/8'' ";"1/2''-14 ";"64,0 ";"27,0 ";"12,5 ";"27 ";"DKR-1/2''-45∞-DN 16 ";"32,5 ";"";"487 "
"12 ";"1/2'' ";"5/8''-14 ";"64,5 ";"29,0 ";"9,5 ";"27 ";"DKR-5/8''-45∞-DN 12 ";"34,9 ";"";"488 "
"16 ";"5/8'' ";"5/8''-14 ";"68,0 ";"28,0 ";"12,5 ";"27 ";"DKR-5/8''-45∞-DN 16 ";"32,5 ";"";"489 "
"12 ";"1/2'' ";"3/4''-14 ";"60,0 ";"23,0 ";"9,0 ";"32 ";"DKR-3/4''-45∞-DN 12 ";"38,75 ";"";"490 "
"16 ";"5/8'' ";"3/4''-14 ";"63,5 ";"28,0 ";"12,5 ";"32 ";"DKR-3/4''-45∞-DN 16 ";"36 ";"";"491 "
"19 ";"3/4'' ";"3/4''-14 ";"70,0 ";"30,0 ";"14,5 ";"32 ";"DKR-3/4''-45∞-DN 19 ";"31,25 ";"";"492 "
"19 ";"3/4'' ";"1''-11 ";"77,0 ";"26,0 ";"14,5 ";"41 ";"DKR-1''-45∞-DN 19 ";"50 ";"";"493 "
"25 ";"1'' ";"1''-11 ";"95,0 ";"39,5 ";"20,0 ";"41 ";"DKR-1''-45∞-DN 25 ";"44,32 ";"";"494 "
"25 ";"1'' ";"1 1/4''-11 ";"94,0 ";"40,0 ";"20,0 ";"50 ";"DKR-1 1/4''-45∞-DN 25 ";"104 ";"";"495 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"100,0 ";"40,0 ";"25,0 ";"50 ";"DKR-1 1/4''-45∞-DN 31 ";"78,9 ";"";"496 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"145,0 ";"53,0 ";"25,0 ";"55 ";"DKR-1 1/2''-45∞-DN 31 ";"135 ";"";"497 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"115,0 ";"55,0 ";"31,0 ";"55 ";"DKR-1 1/2''-45∞-DN 38 ";"97 ";"";"498 "
"51 ";"2'' ";"2''-11 ";"149,0 ";"57,0 ";"40,0 ";"70 ";"DKR-2''-45∞-DN 51 ";"171,1 ";"";"500 "
