"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"32 ";"17,0 ";"10,0 ";"12 ";"14 ";"GE-L-06-1/8''-NPT ";"10,12 ";"L ";"4355 "
"315 ";"6 ";"1/4'' NPT ";"38 ";"23,0 ";"15,0 ";"17 ";"14 ";"GE-L-06-1/4''-NPT ";"10,4 ";"L ";"4356 "
"315 ";"6 ";"3/8'' NPT ";"38 ";"23,0 ";"15,3 ";"19 ";"14 ";"GE-L-06-3/8''-NPT ";"13,29 ";"L ";"4357 "
"315 ";"6 ";"1/2'' NPT ";"44 ";"29,0 ";"20,0 ";"22 ";"14 ";"GE-L-06-1/2''-NPT ";"16,75 ";"L ";"4358 "
"315 ";"8 ";"1/8'' NPT ";"33 ";"18,0 ";"10,0 ";"14 ";"17 ";"GE-L-08-1/8''-NPT ";"10,3 ";"L ";"4359 "
"315 ";"8 ";"1/4'' NPT ";"38 ";"23,0 ";"15,0 ";"17 ";"17 ";"GE-L-08-1/4''-NPT ";"11,25 ";"L ";"4360 "
"315 ";"8 ";"3/8'' NPT ";"38 ";"23,0 ";"15,3 ";"19 ";"17 ";"GE-L-08-3/8''-NPT ";"13,98 ";"L ";"4361 "
"315 ";"8 ";"1/2'' NPT ";"44 ";"29,0 ";"20,0 ";"22 ";"17 ";"GE-L-08-1/2''-NPT ";"17,46 ";"L ";"4362 "
"315 ";"10 ";"1/8'' NPT ";"33 ";"18,0 ";"10,0 ";"17 ";"19 ";"GE-L-10-1/8''-NPT ";"13,19 ";"L ";"4363 "
"315 ";"10 ";"1/4'' NPT ";"39 ";"24,0 ";"15,0 ";"17 ";"19 ";"GE-L-10-1/4''-NPT ";"13,34 ";"L ";"4364 "
"315 ";"10 ";"3/8'' NPT ";"40 ";"25,0 ";"15,3 ";"19 ";"19 ";"GE-L-10-3/8''-NPT ";"15,42 ";"L ";"4365 "
"315 ";"10 ";"1/2'' NPT ";"45 ";"30,0 ";"20,0 ";"22 ";"19 ";"GE-L-10-1/2''-NPT ";"18,56 ";"L ";"4366 "
"160 ";"10 ";"3/4'' NPT ";"46 ";"31,0 ";"20,0 ";"27 ";"19 ";"GE-L-10-3/4''-NPT ";"21,6 ";"L ";"4367 "
"315 ";"12 ";"1/8'' NPT ";"34 ";"19,0 ";"10,0 ";"19 ";"22 ";"GE-L-12-1/8''-NPT ";"15,08 ";"L ";"4368 "
"315 ";"12 ";"1/4'' NPT ";"40 ";"25,0 ";"15,0 ";"19 ";"22 ";"GE-L-12-1/4''-NPT ";"15,72 ";"L ";"4369 "
"315 ";"12 ";"3/8'' NPT ";"40 ";"25,0 ";"15,3 ";"19 ";"22 ";"GE-L-12-3/8''-NPT ";"16,49 ";"L ";"4370 "
"315 ";"12 ";"1/2'' NPT ";"45 ";"30,0 ";"20,0 ";"22 ";"22 ";"GE-L-12-1/2''-NPT ";"17,28 ";"L ";"4371 "
"160 ";"12 ";"3/4'' NPT ";"48 ";"31,0 ";"20,0 ";"27 ";"22 ";"GE-L-12-3/4''-NPT ";"23,11 ";"L ";"4372 "
"315 ";"15 ";"1/4'' NPT ";"45 ";"26,0 ";"15,0 ";"24 ";"27 ";"GE-L-15-1/4''-NPT ";"19,58 ";"L ";"4373 "
"315 ";"15 ";"3/8'' NPT ";"41 ";"26,0 ";"15,3 ";"24 ";"27 ";"GE-L-15-3/8''-NPT ";"20,32 ";"L ";"4374 "
"315 ";"15 ";"1/2'' NPT ";"46 ";"31,0 ";"20,0 ";"24 ";"27 ";"GE-L-15-1/2''-NPT ";"21,5 ";"L ";"4375 "
"160 ";"15 ";"3/4'' NPT ";"47 ";"32,0 ";"20,0 ";"27 ";"27 ";"GE-L-15-3/4''-NPT ";"23,52 ";"L ";"4376 "
"160 ";"18 ";"1/4'' NPT ";"";"26,5 ";"15 ";"27 ";"32 ";"GE-L-18-1/4''-NPT ";"";"L ";"12153 "
"315 ";"18 ";"3/8'' NPT ";"43 ";"26,5 ";"15,3 ";"27 ";"32 ";"GE-L-18-3/8''-NPT ";"29,71 ";"L ";"4377 "
"315 ";"18 ";"1/2'' NPT ";"48 ";"31,5 ";"20,0 ";"27 ";"32 ";"GE-L-18-1/2''-NPT ";"28,12 ";"L ";"4378 "
"160 ";"18 ";"3/4'' NPT ";"48 ";"31,5 ";"20,0 ";"27 ";"32 ";"GE-L-18-3/4''-NPT ";"29,66 ";"L ";"4379 "
"160 ";"18 ";"1'' NPT ";"54 ";"37,5 ";"25,0 ";"36 ";"32 ";"GE-L-18-1''-NPT ";"40,78 ";"L ";"4380 "
"160 ";"22 ";"3/8'' NPT ";"45 ";"28,5 ";"15,3 ";"32 ";"36 ";"GE-L-22-3/8''-NPT ";"38,35 ";"L ";"4381 "
"160 ";"22 ";"1/2'' NPT ";"50 ";"33,5 ";"20,0 ";"32 ";"36 ";"GE-L-22-1/2''-NPT ";"33,75 ";"L ";"4382 "
"160 ";"22 ";"3/4'' NPT ";"50 ";"33,5 ";"20,0 ";"32 ";"36 ";"GE-L-22-3/4''-NPT ";"35,94 ";"L ";"4383 "
"160 ";"22 ";"1'' NPT ";"56 ";"39,5 ";"25,0 ";"36 ";"36 ";"GE-L-22-1''-NPT ";"43,82 ";"L ";"4384 "
"160 ";"22 ";"1 1/4'' NPT ";"68 ";"46,5 ";"25,5 ";"46 ";"36 ";"GE-L-22-1 1/4''-NPT ";"60,84 ";"L ";"4385 "
"160 ";"28 ";"1/2'' NPT ";"56 ";"35,0 ";"20,0 ";"41 ";"41 ";"GE-L-28-1/2''-NPT ";"55,22 ";"L ";"4386 "
"160 ";"28 ";"3/4'' NPT ";"51 ";"34,5 ";"20,0 ";"41 ";"41 ";"GE-L-28-3/4''-NPT ";"54,2 ";"L ";"4387 "
"160 ";"28 ";"1'' NPT ";"56 ";"39,5 ";"25,0 ";"41 ";"41 ";"GE-L-28-1''-NPT ";"52,15 ";"L ";"4388 "
"160 ";"28 ";"1 1/4'' NPT ";"57 ";"41,5 ";"25,5 ";"46 ";"41 ";"GE-L-28-1 1/4''-NPT ";"61,36 ";"L ";"11776 "
"160 ";"35 ";"3/4'' NPT ";"51 ";"35,5 ";"20,0 ";"46 ";"50 ";"GE-L-35-3/4''-NPT ";"73,37 ";"L ";"4390 "
"160 ";"35 ";"1'' NPT ";"61 ";"39,5 ";"25,0 ";"46 ";"50 ";"GE-L-35-1''-NPT ";"71,58 ";"L ";"4391 "
"160 ";"35 ";"1 1/4'' NPT ";"62 ";"40,5 ";"25,5 ";"46 ";"50 ";"GE-L-35-1 1/4''-NPT ";"68,51 ";"L ";"4392 "
"160 ";"35 ";"1 1/2'' NPT ";"69 ";"42,5 ";"26,0 ";"55 ";"50 ";"GE-L-35-1 1/2''-NPT ";"84,36 ";"L ";"4393 "
"160 ";"42 ";"1'' NPT ";"67 ";"40,5 ";"25,0 ";"55 ";"60 ";"GE-L-42-1''-NPT ";"85,39 ";"L ";"4394 "
"160 ";"42 ";"1 1/4'' NPT ";"65 ";"42,0 ";"25,5 ";"55 ";"60 ";"GE-L-42-1 1/4''-NPT ";"83,85 ";"L ";"11986 "
"160 ";"42 ";"1 1/2'' NPT ";"65 ";"42,0 ";"26,0 ";"55 ";"60 ";"GE-L-42-1 1/2''-NPT ";"84,36 ";"L ";"11988 "
