"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"";"";"14 ";"PL-CEL-06-DN 06 ";"22,2 ";"";"1067 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"";"";"14 ";"PL-CEL-08-DN 06 ";"22,2 ";"";"1068 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"";"";"17 ";"PL-CEL-10-DN 10 ";"29,25 ";"";"1069 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"";"";"19 ";"PL-CEL-12-DN 10 ";"28 ";"";"1070 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"22,5 ";"9,5 ";"22 ";"PL-CEL-15-DN 12 ";"28,5 ";"";"1071 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"22,0 ";"13,0 ";"27 ";"PL-CEL-18-DN 16 ";"33,4 ";"";"1072 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"";"";"30 ";"PL-CEL-22-DN 19 ";"47,5 ";"";"1073 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"";"";"36 ";"PL-CEL-28-DN 25 ";"55 ";"";"1074 "
