"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"95 ";"45 ";"14,5 ";"36 ";"20,0 x 2,0 ";"I-DKOL-22-45∞-DN 19 ";"81,3 ";"";"1158 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"102 ";"50 ";"20,0 ";"41 ";"25,0 x 2,0 ";"I-DKOL-28-45∞-DN 25 ";"94,9 ";"";"1159 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"120 ";"50 ";"25,0 ";"50 ";"32,0 x 2,5 ";"I-DKOL-35-45∞-DN 31 ";"145 ";"";"1160 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"140 ";"61 ";"31,0 ";"60 ";"38,0 x 2,5 ";"I-DKOL-42-45∞-DN 38 ";"199,9 ";"";"1161 "
