"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EVT-L-06-M 10x1-OMD ";"29,12 ";"L ";"7272 "
"315 ";"8 ";"M 12 x 1,5 ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"EVT-L-08-M 12x1,5-OMD ";"32,76 ";"L ";"7273 "
"315 ";"10 ";"M 14 x 1,5 ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-L-10-M 14x1,5-OMD ";"35,73 ";"L ";"7274 "
"315 ";"12 ";"M 16 x 1,5 ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-L-12-M 16x1,5-OMD ";"41,45 ";"L ";"7275 "
"315 ";"15 ";"M 18 x 1,5 ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"12 ";"24 ";"19 ";"27 ";"EVT-L-15-M 18x1,5-OMD ";"54,77 ";"L ";"7276 "
"315 ";"18 ";"M 22 x 1,5 ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EVT-L-18-M 22x1,5-OMD ";"74,05 ";"L ";"7277 "
"160 ";"22 ";"M 26 x 1,5 ";"27,5 ";"55,0 ";"38,0 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EVT-L-22-M 26x1,5-OMD ";"83,2 ";"L ";"7278 "
"160 ";"28 ";"M 33 x 2 ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EVT-L-28-M 33x2-OMD ";"136,7 ";"L ";"7279 "
"160 ";"35 ";"M 42 x 2 ";"34,5 ";"71,5 ";"54,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-L-35-M 42x2-OMD ";"212,77 ";"L ";"7280 "
"160 ";"42 ";"M 48 x 2 ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-L-42-M 48x2-OMD ";"291,47 ";"L ";"7281 "
"630 ";"6 ";"M 12 x 1,5 ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"12 ";"17 ";"EVT-S-06-M 12x1,5-OMD ";"32,54 ";"S ";"7282 "
"630 ";"8 ";"M 14 x 1,5 ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-S-08-M 14x1,5-OMD ";"37,78 ";"S ";"7283 "
"630 ";"10 ";"M 16 x 1,5 ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-S-10-M 16x1,5-OMD ";"40,92 ";"S ";"7284 "
"630 ";"12 ";"M 18 x 1,5 ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"24 ";"17 ";"24 ";"EVT-S-12-M 18x1,5-OMD ";"43,25 ";"S ";"7285 "
"630 ";"14 ";"M 20 x 1,5 ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EVT-S-14-M 20x1,5-OMD ";"57,97 ";"S ";"7286 "
"400 ";"16 ";"M 22 x 1,5 ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EVT-S-16-M 22x1,5-OMD ";"70,48 ";"S ";"7287 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EVT-S-20-M 27x2-OMD ";"96,75 ";"S ";"7288 "
"400 ";"25 ";"M 33 x 2 ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EVT-S-25-M 33x2-OMD ";"147,01 ";"S ";"7289 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-S-30-M 42x2-OMD ";"189,16 ";"S ";"7290 "
"250 ";"38 ";"M 48 x 2 ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-S-38-M 48x2-OMD ";"294,02 ";"S ";"7291 "
