"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"20,0 ";"20,0 ";"4,0 ";"12 ";"1350510-02 ";"10 ";"";"1703 "
"400 ";"1/4''-19 ";"24,5 ";"24,5 ";"6,0 ";"14 ";"1350510-04 ";"11 ";"";"1704 "
"400 ";"3/8''-19 ";"25,5 ";"25,5 ";"8,0 ";"17 ";"1350510-06 ";"15,5 ";"";"1705 "
"400 ";"1/2''-14 ";"29,5 ";"29,5 ";"11,0 ";"19 ";"1350510-08 ";"19,5 ";"";"1706 "
"400 ";"3/4''-14 ";"37,0 ";"37,0 ";"16,0 ";"27 ";"1350510-12 ";"37,5 ";"";"1707 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"22,0 ";"36 ";"1350510-16 ";"44,9 ";"";"1708 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"28,5 ";"41 ";"1350510-20 ";"78,9 ";"";"1709 "
"200 ";"1 1/2''-11 ";"59,0 ";"59,0 ";"33,5 ";"50 ";"1350510-24 ";"150 ";"";"1710 "
"100 ";"2''-11 ";"77,5 ";"77,5 ";"45,0 ";"65 ";"1350510-32 ";"290 ";"";"1711 "
