"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1  keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"WE-L-06-M 10x1-k-SC ";"12,67 ";"L ";"5207 "
"315 ";"8 ";"M 12 x 1,5 keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"WE-L-08-M 12x1,5-k-SC ";"14,71 ";"L ";"5208 "
"315 ";"10 ";"M 12 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"WE-L-10-M 12x1,5-k-SC ";"17,7 ";"L ";"5209 "
"315 ";"10 ";"M 14 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"WE-L-10-M 14x1,5-k-SC ";"16,24 ";"L ";"5210 "
"315 ";"10 ";"M 16 x 1,5 keg ";"30 ";"15,0 ";"28 ";"12 ";"14 ";"19 ";"WE-L-10-M 16x1,5-k-SC ";"17,66 ";"L ";"12192 "
"315 ";"12 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"17 ";"22 ";"WE-L-12-M 14x1,5-k-SC ";"19,59 ";"L ";"11894 "
"315 ";"12 ";"M 16 x 1,5 keg ";"32 ";"17,0 ";"28 ";"12 ";"17 ";"22 ";"WE-L-12-M 16x1,5-k-SC ";"16,9 ";"L ";"5211 "
"315 ";"15 ";"M 18 x 1,5 keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"WE-L-15-M 18x1,5-k-SC ";"25,52 ";"L ";"5212 "
"315 ";"18 ";"M 22 x 1,5 keg ";"40 ";"23,0 ";"36 ";"14 ";"24 ";"32 ";"WE-L-18-M 22x1,5-k-SC ";"35,31 ";"L ";"5213 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"31 ";"16,0 ";"26 ";"12 ";"12 ";"17 ";"WE-S-06-M 12x1,5-k-SC ";"15,68 ";"S ";"5214 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"WE-S-08-M 14x1,5-k-SC ";"17,72 ";"S ";"5215 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"WE-S-10-M 16x1,5-k-SC ";"21,42 ";"S ";"5216 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"WE-S-12-M 18x1,5-k-SC ";"26,89 ";"S ";"5217 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"40 ";"22,0 ";"32 ";"14 ";"19 ";"27 ";"WE-S-14-M 20x1,5-k-SC ";"33,31 ";"S ";"5218 "
"630 ** ";"16 ";"M 22 x 1,5 keg ";"43 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"WE-S-16-M 22x1,5-k-SC ";"41,59 ";"S ";"11896 "
