"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"12,0 ";"26,0 ";"19,0 ";"12 ";"14 ";"EVT-L-06-OMD ";"25,55 ";"L ";"7152 "
"315 ";"8 ";"M 14 x 1,5 ";"14,0 ";"27,5 ";"21,0 ";"12 ";"17 ";"EVT-L-08-OMD ";"27,69 ";"L ";"7153 "
"315 ";"10 ";"M 16 x 1,5 ";"15,0 ";"29,0 ";"22,0 ";"14 ";"19 ";"EVT-L-10-OMD ";"30,76 ";"L ";"7154 "
"315 ";"12 ";"M 18 x 1,5 ";"17,0 ";"29,5 ";"24,0 ";"17 ";"22 ";"EVT-L-12-OMD ";"34,4 ";"L ";"7155 "
"315 ";"15 ";"M 22 x 1,5 ";"21,0 ";"32,5 ";"28,0 ";"19 ";"27 ";"EVT-L-15-OMD ";"45,63 ";"L ";"7156 "
"315 ";"18 ";"M 26 x 1,5 ";"23,5 ";"35,5 ";"31,0 ";"24 ";"32 ";"EVT-L-18-OMD ";"62,01 ";"L ";"7157 "
"160 ";"22 ";"M 30 x 2 ";"27,5 ";"38,5 ";"35,0 ";"27 ";"36 ";"EVT-L-22-OMD ";"66,3 ";"L ";"7158 "
"160 ";"28 ";"M 36 x 2 ";"30,5 ";"41,5 ";"38,0 ";"36 ";"41 ";"EVT-L-28-OMD ";"108,35 ";"L ";"7159 "
"160 ";"35 ";"M 45 x 2 ";"34,5 ";"54,0 ";"45,0 ";"41 ";"50 ";"EVT-L-35-OMD ";"180,2 ";"L ";"7160 "
"160 ";"42 ";"M 52 x 2 ";"40,0 ";"56,0 ";"51,0 ";"50 ";"60 ";"EVT-L-42-OMD ";"247,32 ";"L ";"7161 "
"630 ";"6 ";"M 14 x 1,5 ";"16,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"EVT-S-06-OMD ";"25,61 ";"S ";"7162 "
"630 ";"8 ";"M 16 x 1,5 ";"17,0 ";"27,5 ";"24,0 ";"14 ";"19 ";"EVT-S-08-OMD ";"29,75 ";"S ";"7163 "
"630 ";"10 ";"M 18 x 1,5 ";"17,5 ";"30,0 ";"25,0 ";"17 ";"22 ";"EVT-S-10-OMD ";"32,51 ";"S ";"7164 "
"630 ";"12 ";"M 20 x 1,5 ";"21,5 ";"31,0 ";"29,0 ";"17 ";"24 ";"EVT-S-12-OMD ";"34,41 ";"S ";"7165 "
"630 ";"14 ";"M 22 x 1,5 ";"22,0 ";"35,0 ";"30,0 ";"19 ";"27 ";"EVT-S-14-OMD ";"46,88 ";"S ";"7166 "
"400 ";"16 ";"M 24 x 1,5 ";"24,5 ";"36,5 ";"33,0 ";"24 ";"30 ";"EVT-S-16-OMD ";"57,72 ";"S ";"7167 "
"400 ";"20 ";"M 30 x 2 ";"26,5 ";"44,5 ";"37,0 ";"27 ";"36 ";"EVT-S-20-OMD ";"78,54 ";"S ";"7168 "
"400 ";"25 ";"M 36 x 2 ";"30,0 ";"50,0 ";"42,0 ";"36 ";"46 ";"EVT-S-25-OMD ";"116,15 ";"S ";"7169 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"55,0 ";"49,0 ";"41 ";"50 ";"EVT-S-30-OMD ";"155,08 ";"S ";"7170 "
"250 ";"38 ";"M 52 x 2 ";"41,0 ";"63,0 ";"57,0 ";"50 ";"60 ";"EVT-S-38-OMD ";"251,17 ";"S ";"7171 "
