"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"8 ";"6 ";"32,0 ";"39,0 ";"14 ";"19 ";"KOR-S-08/06-OMD ";"14,75 ";"S ";"7880 "
"630 ";"10 ";"6 ";"33,0 ";"40,0 ";"14 ";"22 ";"KOR-S-10/06-OMD ";"15 ";"S ";"7881 "
"630 ";"10 ";"8 ";"33,0 ";"40,0 ";"17 ";"22 ";"KOR-S-10/08-OMD ";"15,1 ";"S ";"7882 "
"630 ";"12 ";"6 ";"35,0 ";"42,0 ";"14 ";"24 ";"KOR-S-12/06-OMD ";"16,38 ";"S ";"7883 "
"630 ";"12 ";"8 ";"35,0 ";"42,0 ";"17 ";"24 ";"KOR-S-12/08-OMD ";"17,41 ";"S ";"7884 "
"630 ";"12 ";"10 ";"34,5 ";"42,0 ";"19 ";"24 ";"KOR-S-12/10-OMD ";"17,48 ";"S ";"7885 "
"630 ";"14 ";"6 ";"35,0 ";"42,0 ";"17 ";"27 ";"KOR-S-14/06-OMD ";"17,92 ";"S ";"7886 "
"630 ";"14 ";"8 ";"35,0 ";"42,0 ";"17 ";"27 ";"KOR-S-14/08-OMD ";"18,1 ";"S ";"7887 "
"630 ";"14 ";"10 ";"34,5 ";"42,0 ";"19 ";"27 ";"KOR-S-14/10-OMD ";"18,45 ";"S ";"7888 "
"630 ";"14 ";"12 ";"34,5 ";"42,0 ";"22 ";"27 ";"KOR-S-14/12-OMD ";"19,89 ";"S ";"7889 "
"400 ";"16 ";"6 ";"39,0 ";"42,0 ";"17 ";"30 ";"KOR-S-16/06-OMD ";"23,36 ";"S ";"7890 "
"400 ";"16 ";"8 ";"39,0 ";"46,0 ";"17 ";"30 ";"KOR-S-16/08-OMD ";"23,06 ";"S ";"7891 "
"400 ";"16 ";"10 ";"38,5 ";"46,0 ";"19 ";"30 ";"KOR-S-16/10-OMD ";"23,34 ";"S ";"7892 "
"400 ";"16 ";"12 ";"38,5 ";"46,0 ";"22 ";"30 ";"KOR-S-16/12-OMD ";"24,8 ";"S ";"7893 "
"400 ";"16 ";"14 ";"40,0 ";"48,0 ";"22 ";"30 ";"KOR-S-16/14-OMD ";"22,85 ";"S ";"7894 "
"400 ";"20 ";"6 ";"43,5 ";"50,5 ";"22 ";"36 ";"KOR-S-20/06-OMD ";"26,1 ";"S ";"7895 "
"400 ";"20 ";"8 ";"43,5 ";"50,5 ";"22 ";"36 ";"KOR-S-20/08-OMD ";"25,89 ";"S ";"7896 "
"400 ";"20 ";"10 ";"43,0 ";"50,5 ";"22 ";"36 ";"KOR-S-20/10-OMD ";"28,63 ";"S ";"7897 "
"400 ";"20 ";"12 ";"43,0 ";"50,5 ";"22 ";"36 ";"KOR-S-20/12-OMD ";"28,7 ";"S ";"7898 "
"400 ";"20 ";"14 ";"42,5 ";"50,5 ";"24 ";"36 ";"KOR-S-20/14-OMD ";"30,14 ";"S ";"7899 "
"400 ";"20 ";"16 ";"44,5 ";"53,0 ";"27 ";"36 ";"KOR-S-20/16-OMD ";"32,2 ";"S ";"7900 "
"400 ";"25 ";"6 ";"44,0 ";"51,0 ";"27 ";"46 ";"KOR-S-25/06-OMD ";"40,67 ";"S ";"7901 "
"400 ";"25 ";"8 ";"44,0 ";"51,0 ";"27 ";"46 ";"KOR-S-25/08-OMD ";"40,52 ";"S ";"7902 "
"400 ";"25 ";"10 ";"44,5 ";"52,0 ";"27 ";"46 ";"KOR-S-25/10-OMD ";"40,95 ";"S ";"7903 "
"400 ";"25 ";"12 ";"46,5 ";"54,0 ";"27 ";"46 ";"KOR-S-25/12-OMD ";"47,45 ";"S ";"7904 "
"400 ";"25 ";"14 ";"46,0 ";"";"27 ";"46 ";"KOR-S-25/14-OMD ";"45,53 ";"S ";"7905 "
"400 ";"25 ";"16 ";"48,5 ";"57,0 ";"27 ";"46 ";"KOR-S-25/16-OMD ";"45,48 ";"S ";"7906 "
"400 ";"25 ";"20 ";"48,5 ";"59,0 ";"32 ";"46 ";"KOR-S-25/20-OMD ";"50,78 ";"S ";"7907 "
"400 ";"30 ";"6 ";"54,0 ";"";"32 ";"50 ";"KOR-S-30/06-OMD ";"63,68 ";"S ";"7908 "
"400 ";"30 ";"8 ";"54,0 ";"";"32 ";"50 ";"KOR-S-30/08-OMD ";"63,27 ";"S ";"7909 "
"400 ";"30 ";"10 ";"53,5 ";"";"32 ";"50 ";"KOR-S-30/10-OMD ";"65,09 ";"S ";"7910 "
"400 ";"30 ";"12 ";"53,5 ";"61,0 ";"32 ";"50 ";"KOR-S-30/12-OMD ";"67,13 ";"S ";"7911 "
"400 ";"30 ";"14 ";"55,0 ";"63,0 ";"32 ";"50 ";"KOR-S-30/14-OMD ";"71,19 ";"S ";"7912 "
"400 ";"30 ";"16 ";"54,5 ";"63,0 ";"32 ";"50 ";"KOR-S-30/16-OMD ";"68,48 ";"S ";"7913 "
"400 ";"30 ";"20 ";"54,5 ";"65,0 ";"32 ";"50 ";"KOR-S-30/20-OMD ";"68,67 ";"S ";"7914 "
"400 ";"30 ";"25 ";"57,5 ";"69,5 ";"41 ";"50 ";"KOR-S-30/25-OMD ";"65,74 ";"S ";"7915 "
"250 ";"38 ";"6 ";"55,0 ";"";"41 ";"60 ";"KOR-S-38/06-OMD ";"89,24 ";"S ";"7916 "
"250 ";"38 ";"8 ";"55,0 ";"";"41 ";"60 ";"KOR-S-38/08-OMD ";"88,83 ";"S ";"7917 "
"250 ";"38 ";"10 ";"54,5 ";"62,0 ";"41 ";"60 ";"KOR-S-38/10-OMD ";"88,09 ";"S ";"7918 "
"250 ";"38 ";"12 ";"54,5 ";"62,0 ";"41 ";"60 ";"KOR-S-38/12-OMD ";"87,58 ";"S ";"7919 "
"250 ";"38 ";"14 ";"56,0 ";"";"41 ";"60 ";"KOR-S-38/14-OMD ";"94,2 ";"S ";"7920 "
"250 ";"38 ";"16 ";"55,5 ";"64,0 ";"41 ";"60 ";"KOR-S-38/16-OMD ";"91,49 ";"S ";"7921 "
"250 ";"38 ";"20 ";"57,5 ";"68,0 ";"41 ";"60 ";"KOR-S-38/20-OMD ";"89,12 ";"S ";"7922 "
"250 ";"38 ";"25 ";"60,0 ";"72,0 ";"41 ";"60 ";"KOR-S-38/25-OMD ";"88,75 ";"S ";"7923 "
"250 ";"38 ";"30 ";"60,5 ";"74,0 ";"46 ";"60 ";"KOR-S-38/30-OMD ";"89,05 ";"S ";"7924 "
