"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"27 ";"12,0 ";"20,0 ";"8 ";"12 ";"14 ";"TE-L-06-R 1/8''-k ";"23,93 ";"L ";"5424 "
"315 ";"6 ";"R 1/4'' keg ";"29 ";"14,0 ";"26,0 ";"12 ";"12 ";"14 ";"TE-L-06-R 1/4''-k ";"28,33 ";"L ";"5425 "
"315 ";"8 ";"R 1/8'' keg ";"29 ";"14,0 ";"26,0 ";"12 ";"12 ";"17 ";"TE-L-08-R 1/8''-k ";"31,9 ";"L ";"11877 "
"315 ";"8 ";"R 1/4'' keg ";"29 ";"14,0 ";"26,0 ";"12 ";"12 ";"17 ";"TE-L-08-R 1/4''-k ";"28,33 ";"L ";"5426 "
"315 ";"8 ";"R 3/8'' keg ";"30 ";"15,0 ";"28,0 ";"12 ";"14 ";"17 ";"TE-L-08-R 3/8''-k ";"31,14 ";"L ";"5427 "
"315 ";"10 ";"R 1/8'' keg ";"30 ";"15,0 ";"27,0 ";"8 ";"14 ";"19 ";"TE-L-10-R 1/8''-k ";"36,95 ";"L ";"5428 "
"315 ";"10 ";"R 1/4'' keg ";"30 ";"15,0 ";"27,0 ";"12 ";"14 ";"19 ";"TE-L-10-R 1/4''-k ";"31,07 ";"L ";"5429 "
"315 ";"10 ";"R 3/8'' keg ";"30 ";"15,0 ";"27,0 ";"12 ";"14 ";"19 ";"TE-L-10-R 3/8''-k ";"34,26 ";"L ";"5430 "
"315 ";"10 ";"R 1/2'' keg ";"37 ";"21,0 ";"33,0 ";"14 ";"17 ";"19 ";"TE-L-10-R 1/2''-k ";"35,46 ";"L ";"5431 "
"315 ";"12 ";"R 1/4'' keg ";"32 ";"17,0 ";"28,0 ";"12 ";"17 ";"22 ";"TE-L-12-R 1/4''-k ";"34,77 ";"L ";"5432 "
"315 ";"12 ";"R 3/8'' keg ";"32 ";"17,0 ";"28,0 ";"12 ";"17 ";"22 ";"TE-L-12-R 3/8''-k ";"34,77 ";"L ";"5433 "
"315 ";"12 ";"R 1/2'' keg ";"38 ";"20,5 ";"32,5 ";"14 ";"17 ";"22 ";"TE-L-12-R 1/2''-k ";"39,88 ";"L ";"5434 "
"315 ";"15 ";"R 3/8'' keg ";"36 ";"21,0 ";"32,0 ";"12 ";"19 ";"27 ";"TE-L-15-R 3/8''-k ";"49,8 ";"L ";"5435 "
"315 ";"15 ";"R 1/2'' keg ";"36 ";"21,0 ";"34,0 ";"14 ";"19 ";"27 ";"TE-L-15-R 1/2''-k ";"47,53 ";"L ";"5436 "
"315 ";"18 ";"R 1/2'' keg ";"40 ";"23,5 ";"36,0 ";"14 ";"24 ";"32 ";"TE-L-18-R 1/2''-k ";"69,03 ";"L ";"5437 "
"100 ";"4 ";"R 1/8'' keg ";"21 ";"11,0 ";"17,0 ";"8 ";"9 ";"10 ";"TE-LL-04-R 1/8''-k ";"28,44 ";"LL ";"5421 "
"100 ";"6 ";"R 1/8'' keg ";"21 ";"9,5 ";"17,0 ";"8 ";"9 ";"12 ";"TE-LL-06-R 1/8''-k ";"29,24 ";"LL ";"5422 "
"100 ";"8 ";"R 1/8'' keg ";"23 ";"11,5 ";"20,0 ";"8 ";"12 ";"14 ";"TE-LL-08-R 1/8''-k ";"30,93 ";"LL ";"5423 "
"630 ** ";"6 ";"R 1/4'' keg ";"31 ";"16,0 ";"26,0 ";"12 ";"12 ";"17 ";"TE-S-06-R 1/4''-k ";"28,63 ";"S ";"5438 "
"630 ** ";"8 ";"R 1/4'' keg ";"32 ";"17,0 ";"27,0 ";"12 ";"14 ";"19 ";"TE-S-08-R 1/4''-k ";"31,06 ";"S ";"5439 "
"630 ** ";"10 ";"R 3/8'' keg ";"34 ";"17,5 ";"28,0 ";"12 ";"17 ";"22 ";"TE-S-10-R 3/8''-k ";"35,05 ";"S ";"5440 "
"630 ** ";"12 ";"R 3/8'' keg ";"38 ";"21,5 ";"28,0 ";"12 ";"17 ";"24 ";"TE-S-12-R 3/8''-k ";"44,43 ";"S ";"5441 "
"630 ** ";"12 ";"R 1/2'' keg ";"38 ";"21,5 ";"32,5 ";"14 ";"17 ";"24 ";"TE-S-12-R 1/2''-k ";"57,06 ";"S ";"5442 "
"630 ** ";"14 ";"R 1/2'' keg ";"40 ";"22,0 ";"32,0 ";"14 ";"19 ";"27 ";"TE-S-14-R 1/2''-k ";"49,93 ";"S ";"5443 "
"400 ** ";"16 ";"R 1/2'' keg ";"43 ";"24,5 ";"32,0 ";"14 ";"24 ";"30 ";"TE-S-16-R 1/2''-k ";"69,03 ";"S ";"11878 "
