"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/4''-19 ";"4,0 ";"17 ";"SR-DKR-1/4''-90∞-DN 06 ";"39,6 ";"";"1330 "
"08 ";"5/16'' ";"3/8''-19 ";"5,5 ";"19 ";"SR-DKR-3/8''-90∞-DN 08 ";"45,65 ";"";"1331 "
"10 ";"3/8'' ";"3/8''-19 ";"7,5 ";"19 ";"SR-DKR-3/8''-90∞-DN 10 ";"39,95 ";"";"1332 "
"10 ";"3/8'' ";"1/2''-14 ";"7,5 ";"27 ";"SR-DKR-1/2''-90∞-DN 10 ";"50,5 ";"";"1333 "
"12 ";"1/2'' ";"1/2''-14 ";"10,0 ";"27 ";"SR-DKR-1/2''-90∞-DN 12 ";"54,45 ";"";"1334 "
"16 ";"5/8'' ";"3/4''-14 ";"13,0 ";"32 ";"SR-DKR-3/4''-90∞-DN 16 ";"76,1 ";"";"1335 "
"19 ";"3/4'' ";"3/4''-14 ";"15,5 ";"32 ";"SR-DKR-3/4''-90∞-DN 19 ";"76,1 ";"";"1336 "
"25 ";"1'' ";"1''-11 ";"21,0 ";"41 ";"SR-DKR-1''-90∞-DN 25 ";"124,65 ";"";"1337 "
