"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EVL-L-06-G 1/8''-OMD ";"29,12 ";"L ";"7392 "
"315 ";"8 ";"G 1/4'' ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"19 ";"12 ";"17 ";"EVL-L-08-G 1/4''-OMD ";"32,35 ";"L ";"7393 "
"315 ";"10 ";"G 1/4'' ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-L-10-G 1/4''-OMD ";"35,78 ";"L ";"7394 "
"315 ";"12 ";"G 3/8'' ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-L-12-G 3/8''-OMD ";"42,27 ";"L ";"7395 "
"315 ";"15 ";"G 1/2'' ";"21,0 ";"46,5 ";"32,5 ";"28,0 ";"14 ";"27 ";"19 ";"27 ";"EVL-L-15-G 1/2''-OMD ";"57,38 ";"L ";"7396 "
"315 ";"18 ";"G 1/2'' ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EVL-L-18-G 1/2''-OMD ";"88,06 ";"L ";"7397 "
"160 ";"22 ";"G 3/4'' ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EVL-L-22-G 3/4''-OMD ";"94,81 ";"L ";"7398 "
"160 ";"28 ";"G 1'' ";"30,5 ";"61,0 ";"43,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EVL-L-28-G 1''-OMD ";"168,56 ";"L ";"7399 "
"160 ";"35 ";"G 1 1/4'' ";"34,5 ";"71,5 ";"54,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-L-35-G 1 1/4''-OMD ";"243,44 ";"L ";"7400 "
"160 ";"42 ";"G 1 1/2'' ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-L-42-G 1 1/2''-OMD ";"321,64 ";"L ";"7401 "
"630 ";"6 ";"G 1/4'' ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"19 ";"12 ";"17 ";"EVL-S-06-G 1/4''-OMD ";"30,65 ";"S ";"7402 "
"630 ";"8 ";"G 1/4'' ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-S-08-G 1/4''-OMD ";"34,43 ";"S ";"7403 "
"630 ";"10 ";"G 3/8'' ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-S-10-G 3/8''-OMD ";"44,73 ";"S ";"7404 "
"630 ";"12 ";"G 3/8'' ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"22 ";"17 ";"24 ";"EVL-S-12-G 3/8''-OMD ";"49,23 ";"S ";"7405 "
"630 ";"14 ";"G 1/2'' ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EVL-S-14-G 1/2''-OMD ";"58,97 ";"S ";"7406 "
"400 ";"16 ";"G 1/2'' ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EVL-S-16-G 1/2''-OMD ";"90,93 ";"S ";"7407 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EVL-S-20-G 3/4''-OMD ";"111,83 ";"S ";"7408 "
"400 ";"25 ";"G 1'' ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EVL-S-25-G 1''-OMD ";"177,45 ";"S ";"7409 "
"400 ";"30 ";"G 1 1/4'' ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-S-30-G 1 1/4''-OMD ";"218,74 ";"S ";"7410 "
"250 ";"38 ";"G 1 1/2'' ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-S-38-G 1 1/2''-OMD ";"311,4 ";"S ";"7411 "
