"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"21,0 ";"23,0 ";"P1-DN 05 ";"6,5 ";"";"10761 "
"06 ";"1/4'' ";"20,0 ";"34,5 ";"P1-DN 06 ";"6,5 ";"";"26 "
"08 ";"5/16'' ";"22,0 ";"34,5 ";"P1-DN 08 ";"6,55 ";"";"27 "
"10 ";"3/8'' ";"25,0 ";"35,0 ";"P1-DN 10 ";"6,65 ";"";"28 "
"12 ";"1/2'' ";"28,0 ";"37,0 ";"P1-DN 12 ";"7,25 ";"";"29 "
"16 ";"5/8'' ";"32,0 ";"40,0 ";"P1-DN 16 ";"9,55 ";"";"30 "
"19 ";"3/4'' ";"36,0 ";"45,0 ";"P1-DN 19 ";"13,35 ";"";"31 "
"25 ";"1'' ";"45,0 ";"50,0 ";"P1-DN 25 ";"17,95 ";"";"32 "
"31 ";"1 1/4'' ";"55,0 ";"70,0 ";"P1-DN 31 ";"30,65 ";"";"33 "
"38 ";"1 1/2'' ";"60,0 ";"70,0 ";"P1-DN 38 ";"39,8 ";"";"34 "
"51 ";"2'' ";"76,0 ";"80,0 ";"P1-DN 51 ";"53,8 ";"";"35 "
