"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"12,0 ";"20,0 ";"19,0 ";"10,0 ";"12 ";"LE-L-06-1/8''-NPT-OMD ";"25,55 ";"L ";"5917 "
"315 ";"6 ";"1/4'' NPT ";"14,0 ";"26,0 ";"";"15,0 ";"12 ";"LE-L-06-1/4''-NPT-OMD ";"26,01 ";"L ";"5918 "
"315 ";"8 ";"1/4'' NPT ";"14,0 ";"26,0 ";"21,0 ";"15,0 ";"12 ";"LE-L-08-1/4''-NPT-OMD ";"26,33 ";"L ";"5919 "
"315 ";"10 ";"1/4'' NPT ";"15,0 ";"27,0 ";"22,0 ";"15,0 ";"14 ";"LE-L-10-1/4''-NPT-OMD ";"28,56 ";"L ";"5920 "
"315 ";"10 ";"3/8'' NPT ";"15,0 ";"28,0 ";"22,0 ";"15,3 ";"14 ";"LE-L-10-3/8''-NPT-OMD ";"";"L ";"5921 "
"315 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"LE-L-10-1/2''-NPT-OMD ";"";"L ";"5922 "
"315 ";"12 ";"1/4'' NPT ";"17,0 ";"28,0 ";"24,0 ";"15,0 ";"17 ";"LE-L-12-1/4''-NPT-OMD ";"36,65 ";"L ";"5923 "
"315 ";"12 ";"3/8'' NPT ";"17,0 ";"28,0 ";"24,0 ";"15,3 ";"17 ";"LE-L-12-3/8''-NPT-OMD ";"34,79 ";"L ";"5924 "
"315 ";"12 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"LE-L-12-1/2''-NPT-OMD ";"38,19 ";"L ";"5925 "
"315 ";"15 ";"3/8'' NPT ";"21,0 ";"32,0 ";"28,0 ";"15,3 ";"19 ";"LE-L-15-3/8''-NPT-OMD ";"";"L ";"5926 "
"315 ";"15 ";"1/2'' NPT ";"21,0 ";"34,0 ";"28,0 ";"20,0 ";"19 ";"LE-L-15-1/2''-NPT-OMD ";"48,26 ";"L ";"5927 "
"315 ";"18 ";"1/2'' NPT ";"23,5 ";"36,0 ";"";"20,0 ";"24 ";"LE-L-18-1/2''-NPT-OMD ";"77,35 ";"L ";"5928 "
"160 ";"22 ";"3/4'' NPT ";"27,5 ";"42,0 ";"";"20,0 ";"27 ";"LE-L-22-3/4''-NPT-OMD ";"79,08 ";"L ";"5929 "
"160 ";"28 ";"1'' NPT ";"30,5 ";"48,0 ";"";"25,0 ";"36 ";"LE-L-28-1''-NPT-OMD ";"133,92 ";"L ";"5930 "
"160 ";"35 ";"1 1/4'' NPT ";"34,5 ";"54,0 ";"";"25,5 ";"41 ";"LE-L-35-1 1/4''-NPT-OMD ";"268,65 ";"L ";"5931 "
"160 ";"42 ";"1 1/2'' NPT ";"40,0 ";"61,0 ";"";"26,0 ";"50 ";"LE-L-42-1 1/2''-NPT-OMD ";"264,45 ";"L ";"5932 "
"100 ";"4 ";"1/8'' NPT ";"11,0 ";"17,0 ";"15,0 ";"10,0 ";"9 ";"LE-LL-04-1/8''-NPT-OMD ";"";"LL ";"5914 "
"100 ";"6 ";"1/8'' NPT ";"9,5 ";"17,0 ";"15,0 ";"10,0 ";"9 ";"LE-LL-06-1/8''-NPT-OMD ";"";"LL ";"5915 "
"100 ";"8 ";"1/8'' NPT ";"11,5 ";"20,0 ";"";"10,0 ";"12 ";"LE-LL-08-1/8''-NPT-OMD ";"";"LL ";"5916 "
"630 ";"6 ";"1/4'' NPT ";"16,0 ";"26,0 ";"23,0 ";"15,0 ";"12 ";"LE-S-06-1/4''-NPT-OMD ";"27,3 ";"S ";"5933 "
"630 ";"8 ";"1/4'' NPT ";"17,0 ";"27,0 ";"24,0 ";"15,0 ";"14 ";"LE-S-08-1/4''-NPT-OMD ";"27,19 ";"S ";"5934 "
"630 ";"10 ";"1/4'' NPT ";"17,5 ";"28,0 ";"25,0 ";"15,0 ";"17 ";"LE-S-10-1/4''-NPT-OMD ";"";"S ";"5935 "
"630 ";"10 ";"3/8'' NPT ";"17,5 ";"28,0 ";"25,0 ";"15,3 ";"17 ";"LE-S-10-3/8''-NPT-OMD ";"33,1 ";"S ";"5936 "
"630 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"LE-S-10-1/2''-NPT-OMD ";"";"S ";"5937 "
"630 ";"12 ";"1/4'' NPT ";"";"";"";"15,0 ";"17 ";"LE-S-12-1/4''-NPT-OMD ";"";"S ";"5938 "
"630 ";"12 ";"3/8'' NPT ";"21,5 ";"28,0 ";"29,0 ";"15,3 ";"17 ";"LE-S-12-3/8''-NPT-OMD ";"39,03 ";"S ";"5939 "
"630 ";"12 ";"1/2'' NPT ";"21,5 ";"32,5 ";"29,0 ";"20,0 ";"17 ";"LE-S-12-1/2''-NPT-OMD ";"49,9 ";"S ";"5940 "
"630 ";"14 ";"1/2'' NPT ";"22,0 ";"34,0 ";"30,0 ";"20,0 ";"19 ";"LE-S-14-1/2''-NPT-OMD ";"47,8 ";"S ";"5941 "
"400 ";"16 ";"1/2'' NPT ";"24,5 ";"36,0 ";"";"20,0 ";"24 ";"LE-S-16-1/2''-NPT-OMD ";"75,61 ";"S ";"5942 "
"400 ";"20 ";"3/4'' NPT ";"26,5 ";"42,0 ";"";"20,0 ";"27 ";"LE-S-20-3/4''-NPT-OMD ";"91,33 ";"S ";"5943 "
"400 ";"25 ";"1'' NPT ";"30,0 ";"48,0 ";"";"25,0 ";"36 ";"LE-S-25-1''-NPT-OMD ";"138,65 ";"S ";"5944 "
"400 ";"30 ";"1 1/4'' NPT ";"35,5 ";"54,0 ";"";"25,5 ";"41 ";"LE-S-30-1 1/4''-NPT-OMD ";"186,78 ";"S ";"5945 "
"315 ";"38 ";"1 1/2'' NPT ";"41,0 ";"61,0 ";"";"26,0 ";"50 ";"LE-S-38-1 1/2''-NPT-OMD ";"369,02 ";"S ";"5946 "
