"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/4'' NPT ";"38 ";"23,5 ";"16,4 ";"19 ";"14 ";"MV-L-06-NPT-1/4'' ";"14,39 ";"L ";"6260 "
"315 ";"6 ";"1/2'' NPT ";"46 ";"31,0 ";"22,6 ";"27 ";"14 ";"MV-L-06-NPT-1/2'' ";"20,45 ";"L ";"6261 "
"315 ";"8 ";"1/4'' NPT ";"38 ";"23,5 ";"16,4 ";"19 ";"17 ";"MV-L-08-NPT-1/4'' ";"14,9 ";"L ";"6262 "
"315 ";"8 ";"1/2'' NPT ";"46 ";"31,0 ";"22,6 ";"27 ";"17 ";"MV-L-08-NPT-1/2'' ";"21,55 ";"L ";"6263 "
"315 ";"10 ";"1/4'' NPT ";"39 ";"24,0 ";"16,4 ";"19 ";"19 ";"MV-L-10-NPT-1/4'' ";"15,93 ";"L ";"6264 "
"315 ";"10 ";"1/2'' NPT ";"47 ";"32,0 ";"22,6 ";"27 ";"19 ";"MV-L-10-NPT-1/2'' ";"22,11 ";"L ";"6265 "
"315 ";"12 ";"1/4'' NPT ";"39 ";"24,0 ";"16,4 ";"19 ";"22 ";"MV-L-12-NPT-1/4'' ";"16,82 ";"L ";"6266 "
"315 ";"12 ";"1/2'' NPT ";"47 ";"32,0 ";"22,6 ";"27 ";"22 ";"MV-L-12-NPT-1/2'' ";"23,01 ";"L ";"6267 "
"630 ";"6 ";"1/2'' NPT ";"48 ";"33,0 ";"22,6 ";"27 ";"17 ";"MV-S-06-NPT-1/2'' ";"20,45 ";"S ";"6268 "
"630 ";"8 ";"1/2'' NPT ";"48 ";"33,0 ";"22,6 ";"27 ";"19 ";"MV-S-08-NPT-1/2'' ";"21,55 ";"S ";"6269 "
"630 ";"10 ";"1/2'' NPT ";"49 ";"32,5 ";"22,6 ";"27 ";"22 ";"MV-S-10-NPT-1/2'' ";"22,11 ";"S ";"6270 "
"630 ";"12 ";"1/2'' NPT ";"49 ";"32,5 ";"22,6 ";"27 ";"24 ";"MV-S-12-NPT-1/2'' ";"23,01 ";"S ";"6271 "
