"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EL-DKOL-06-M 10x1-wd-OMD ";"38,91 ";"L ";"9010 "
"500 ";"8 ";"M 12 x 1,5 ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"EL-DKOL-08-M 12x1,5-wd-OMD ";"40,71 ";"L ";"9011 "
"500 ";"10 ";"M 14 x 1,5 ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EL-DKOL-10-M 14x1,5-wd-OMD ";"49,81 ";"L ";"9012 "
"400 ";"12 ";"M 16 x 1,5 ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EL-DKOL-12-M 16x1,5-wd-OMD ";"54,47 ";"L ";"9013 "
"400 ";"15 ";"M 18 x 1,5 ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"12 ";"24 ";"19 ";"27 ";"EL-DKOL-15-M 18x1,5-wd-OMD ";"72,49 ";"L ";"9014 "
"400 ";"18 ";"M 22 x 1,5 ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EL-DKOL-18-M 22x1,5-wd-OMD ";"91,44 ";"L ";"9015 "
"250 ";"22 ";"M 26 x 1,5 ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EL-DKOL-22-M 26x1,5-wd-OMD ";"117,61 ";"L ";"9016 "
"250 ";"28 ";"M 33 x 2 ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EL-DKOL-28-M 33x3-wd-OMD ";"192,56 ";"L ";"9017 "
"250 ";"35 ";"M 42 x 2 ";"34,5 ";"68,5 ";"51,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EL-DKOL-35-M 42x2-wd-OMD ";"285,11 ";"L ";"9018 "
"250 ";"42 ";"M 48 x 2 ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EL-DKOL-42-M 48x2-wd-OMD ";"400,89 ";"L ";"9019 "
"800 ";"6 ";"M 12 x 1,5 ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"12 ";"17 ";"EL-DKOS-06-M 12x1,5-wd-OMD ";"42,81 ";"S ";"9020 "
"800 ";"8 ";"M 14 x 1,5 ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EL-DKOS-08-M 14x1,5-wd-OMD ";"46,44 ";"S ";"9021 "
"800 ";"10 ";"M 16 x 1,5 ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EL-DKOS-10-M 16x1,5-wd-OMD ";"55,96 ";"S ";"9022 "
"630 ";"12 ";"M 18 x 1,5 ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"24 ";"17 ";"24 ";"EL-DKOS-12-M 18x1,5-wd-OMD ";"60,61 ";"S ";"9023 "
"630 ";"14 ";"M 20 x 1,5 ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EL-DKOS-14-M 20x1,5-wd-OMD ";"76,38 ";"S ";"9024 "
"630 ";"16 ";"M 22 x 1,5 ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EL-DKOS-16-M 22x1,5-wd-OMD ";"92,97 ";"S ";"9025 "
"420 ";"20 ";"M 27 x 2 ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EL-DKOS-20-M 27x2-wd-OMD ";"120,98 ";"S ";"9026 "
"420 ";"25 ";"M 33 x 2 ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EL-DKOS-25-M 33x2-wd-OMD ";"197,75 ";"S ";"9027 "
"420 ";"30 ";"M 42 x 2 ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EL-DKOS-30-M 42x2-wd-OMD ";"292,96 ";"S ";"9028 "
"420 ";"38 ";"M 48 x 2 ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EL-DKOS-38-M 48x2-wd-OMD ";"399,27 ";"S ";"9029 "
