"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"THV-L-06-G 1/8''-WDS-SC ";"142,07 ";"L ";"10965 "
"400 ";"8 ";"G 1/4'' ";"14,5 ";"30 ";"19 ";"22 ";"17 ";"THV-L-08-G 1/4''-WDS-SC ";"158,32 ";"L ";"10966 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"THV-L-10-G 1/4''-WDS-SC ";"181,33 ";"L ";"10967 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"THV-L-12-G 1/4''-WDS-SC ";"215,3 ";"L ";"10968 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"THV-L-12-G 3/8''-WDS-SC ";"201,02 ";"L ";"10969 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"THV-L-15-G 1/2''-WDS-SC ";"277,28 ";"L ";"10970 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"THV-L-18-G 1/2''-WDS-SC ";"339,76 ";"L ";"10971 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"THV-L-22-G 3/4''-WDS-SC ";"536,97 ";"L ";"10972 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"THV-L-28-G 1''-WDS-SC ";"766,46 ";"L ";"10973 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"THV-L-35-G 1 1/4''-WDS-SC ";"1031,61 ";"L ";"10974 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"THV-L-42-G 1 1/2''-WDS-SC ";"1288,82 ";"L ";"10975 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"THV-S-06-G 1/4''-WDS-SC ";"158,32 ";"S ";"10976 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"THV-S-08-G 1/4''-WDS-SC ";"176,22 ";"S ";"10977 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"THV-S-10-G 1/4''-WDS-SC ";"214,9 ";"S ";"10978 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"THV-S-10-G 3/8''-WDS-SC ";"206,13 ";"S ";"10979 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"THV-S-12-G 3/8''-WDS-SC ";"219,47 ";"S ";"10980 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"THV-S-14-G 1/2''-WDS-SC ";"285,91 ";"S ";"10981 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"THV-S-16-G 1/2''-WDS-SC ";"354,94 ";"S ";"10982 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"THV-S-20-G 3/4''-WDS-SC ";"532,1 ";"S ";"10983 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"THV-S-25-G 1''-WDS-SC ";"717,33 ";"S ";"10984 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"THV-S-30-G 1 1/4''-WDS-SC ";"958,36 ";"S ";"10985 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"THV-S-38-G 1 1/2''-WDS-SC ";"1219,88 ";"S ";"10986 "
