"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"8,8 ";"ES4-L-06-wd ";"4,6 ";"L ";"8392 "
"315 ";"8 ";"8,8 ";"ES4-L-08-wd ";"4,94 ";"L ";"8393 "
"315 ";"10 ";"9,8 ";"ES4-L-10-wd ";"6,3 ";"L ";"8394 "
"315 ";"12 ";"9,8 ";"ES4-L-12-wd ";"6,29 ";"L ";"8395 "
"315 ";"15 ";"10,2 ";"ES4-L-15-wd ";"7,58 ";"L ";"8396 "
"315 ";"18 ";"10,2 ";"ES4-L-18-wd ";"6,9 ";"L ";"8397 "
"160 ";"22 ";"11,5 ";"ES4-L-22-wd ";"9,14 ";"L ";"8398 "
"160 ";"28 ";"11,5 ";"ES4-L-28-wd ";"11,56 ";"L ";"8399 "
"160 ";"35 ";"13,5 ";"ES4-L-35-wd ";"17,07 ";"L ";"8400 "
"160 ";"42 ";"13,5 ";"ES4-L-42-wd ";"24,81 ";"L ";"8401 "
"630 ";"6 ";"8,8 ";"ES4-S-06-wd ";"4,6 ";"S ";"8402 "
"630 ";"8 ";"8,8 ";"ES4-S-08-wd ";"4,94 ";"S ";"8403 "
"630 ";"10 ";"9,8 ";"ES4-S-10-wd ";"6,3 ";"S ";"8404 "
"630 ";"12 ";"9,8 ";"ES4-S-12-wd ";"6,29 ";"S ";"8405 "
"630 ";"14 ";"10,2 ";"ES4-S-14-wd ";"9,73 ";"S ";"8406 "
"400 ";"16 ";"10,2 ";"ES4-S-16-wd ";"8,03 ";"S ";"8407 "
"400 ";"20 ";"12,5 ";"ES4-S-20-wd ";"8,36 ";"S ";"8408 "
"400 ";"25 ";"12,5 ";"ES4-S-25-wd ";"10,93 ";"S ";"8409 "
"400 ";"30 ";"13,5 ";"ES4-S-30-wd ";"15,06 ";"S ";"8410 "
"315 ";"38 ";"13,5 ";"ES4-S-38-wd ";"24,55 ";"S ";"8411 "
