"Baugröße  Size  ";"Ca. Maße  Approx. Dimensions  G";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1 ";"24 x 2 ";"SS-SKS-1 ";"4,1 ";"";"10527 "
"2 ";"28 x 2 ";"SS-SKS-2 ";"2,75 ";"";"10528 "
"3 ";"36 x 2 ";"SS-SKS-3 ";"3 ";"";"10529 "
"4 ";"42 x 2 ";"SS-SKS-4 ";"4,6 ";"";"10530 "
"6 ";"48 x 3 ";"SS-SKS-6 ";"3,4 ";"";"10531 "
"8 ";"70 x 3 ";"SS-SKS-8 ";"5,2 ";"";"10532 "
