"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"1/8'' NPT ";"M 12 x 1,5 ";"32,0 ";"10,0 ";"12 ";"14 ";"EGE-DKOL-06-NPT-1/8'' ";"21,05 ";"L ";"9429 "
"500 ";"6 ";"1/4'' NPT ";"M 12 x 1,5 ";"38,0 ";"15,0 ";"14 ";"14 ";"EGE-DKOL-06-NPT-1/4'' ";"25,2 ";"L ";"9430 "
"500 ";"8 ";"1/4'' NPT ";"M 14 x 1,5 ";"42,5 ";"15,0 ";"14 ";"17 ";"EGE-DKOL-08-NPT-1/4'' ";"22,6 ";"L ";"9431 "
"500 ";"10 ";"1/4'' NPT ";"M 16 x 1,5 ";"42,5 ";"15,0 ";"14 ";"19 ";"EGE-DKOL-10-NPT-1/4'' ";"25,05 ";"L ";"9432 "
"400 ";"10 ";"3/8'' NPT ";"M 16 x 1,5 ";"43,0 ";"15,3 ";"19 ";"19 ";"EGE-DKOL-10-NPT-3/8'' ";"31,77 ";"L ";"9433 "
"400 ";"12 ";"1/4'' NPT ";"M 18 x 1,5 ";"40,0 ";"15,0 ";"17 ";"22 ";"EGE-DKOL-12-NPT-1/4'' ";"29,58 ";"L ";"9434 "
"400 ";"12 ";"3/8'' NPT ";"M 18 x 1,5 ";"40,0 ";"15,3 ";"19 ";"22 ";"EGE-DKOL-12-NPT-3/8'' ";"27,6 ";"L ";"9435 "
"400 ";"12 ";"1/2'' NPT ";"M 18 x 1,5 ";"47,0 ";"20,0 ";"22 ";"22 ";"EGE-DKOL-12-NPT-1/2'' ";"38,22 ";"L ";"9436 "
"400 ";"15 ";"1/2'' NPT ";"M 22 x 1,5 ";"49,0 ";"20,0 ";"22 ";"27 ";"EGE-DKOL-15-NPT-1/2'' ";"35,4 ";"L ";"9437 "
"400 ";"18 ";"1/2'' NPT ";"M 26 x 1,5 ";"49,0 ";"20,0 ";"24 ";"32 ";"EGE-DKOL-18-NPT-1/2'' ";"51,15 ";"L ";"9438 "
"250 ";"22 ";"1/2'' NPT ";"M 30 x 2 ";"49,0 ";"20,0 ";"27 ";"36 ";"EGE-DKOL-22-NPT-1/2'' ";"63,05 ";"L ";"9439 "
"250 ";"22 ";"3/4'' NPT ";"M 30 x 2 ";"50,0 ";"20,0 ";"27 ";"36 ";"EGE-DKOL-22-NPT-3/4'' ";"59,45 ";"L ";"9440 "
"250 ";"28 ";"1'' NPT ";"M 36 x 2 ";"61,0 ";"25,0 ";"36 ";"41 ";"EGE-DKOL-28-NPT-1'' ";"93,15 ";"L ";"9441 "
"250 ";"35 ";"1 1/4'' NPT ";"M 45 x 2 ";"60,5 ";"25,5 ";"46 ";"50 ";"EGE-DKOL-35-NPT-1 1/4'' ";"145,95 ";"L ";"9442 "
"250 ";"42 ";"1 1/2'' NPT ";"M 52 x 2 ";"63,0 ";"26,0 ";"50 ";"60 ";"EGE-DKOL-42-NPT-1 1/2'' ";"161,45 ";"L ";"9443 "
"800 ";"6 ";"1/4'' NPT ";"M 14 x 1,5 ";"38,0 ";"15,0 ";"14 ";"17 ";"EGE-DKOS-06-NPT-1/4'' ";"23,15 ";"S ";"9444 "
"800 ";"8 ";"1/4'' NPT ";"M 16 x 1,5 ";"39,0 ";"15,0 ";"14 ";"19 ";"EGE-DKOS-08-NPT-1/4'' ";"24 ";"S ";"9445 "
"800 ";"10 ";"3/8'' NPT ";"M 18 x 1,5 ";"40,0 ";"15,3 ";"19 ";"22 ";"EGE-DKOS-10-NPT-3/8'' ";"27,35 ";"S ";"9446 "
"630 ";"12 ";"1/4'' NPT ";"M 20 x 1,5 ";"41,5 ";"15,0 ";"17 ";"24 ";"EGE-DKOS-12-NPT-1/4'' ";"31,43 ";"S ";"9447 "
"630 ";"12 ";"3/8'' NPT ";"M 20 x 1,5 ";"41,5 ";"15,3 ";"19 ";"24 ";"EGE-DKOS-12-NPT-3/8'' ";"29,35 ";"S ";"9448 "
"630 ";"12 ";"1/2'' NPT ";"M 20 x 1,5 ";"48,0 ";"20,0 ";"22 ";"24 ";"EGE-DKOS-12-NPT-1/2'' ";"40,74 ";"S ";"9449 "
"630 ";"14 ";"1/2'' NPT ";"M 22 x 1,5 ";"48,0 ";"20,0 ";"22 ";"27 ";"EGE-DKOS-14-NPT-1/2'' ";"38,05 ";"S ";"9450 "
"630 ";"16 ";"3/8'' NPT ";"M 24 x 1,5 ";"45,0 ";"15,3 ";"22 ";"30 ";"EGE-DKOS-16-NPT-3/8'' ";"56,23 ";"S ";"9451 "
"630 ";"16 ";"1/2'' NPT ";"M 24 x 1,5 ";"49,0 ";"20,0 ";"22 ";"30 ";"EGE-DKOS-16-NPT-1/2'' ";"52,75 ";"S ";"9452 "
"420 ";"16 ";"3/4'' NPT ";"M 24 x 1,5 ";"49,0 ";"20,0 ";"27 ";"30 ";"EGE-DKOS-16-NPT-3/4'' ";"74,7 ";"S ";"9453 "
"420 ";"20 ";"3/4'' NPT ";"M 30 x 2 ";"52,0 ";"20,0 ";"27 ";"36 ";"EGE-DKOS-20-NPT-3/4'' ";"70,15 ";"S ";"9454 "
"420 ";"25 ";"1'' NPT ";"M 36 x 2 ";"66,0 ";"25,0 ";"36 ";"46 ";"EGE-DKOS-25-NPT-1'' ";"102,45 ";"S ";"9455 "
"420 ";"30 ";"1 1/4'' NPT ";"M 42 x 2 ";"65,5 ";"25,5 ";"46 ";"50 ";"EGE-DKOS-30-NPT-1 1/4'' ";"121,1 ";"S ";"9456 "
"420 ";"38 ";"1 1/2'' NPT ";"M 52 x 2 ";"66,0 ";"26,0 ";"50 ";"60 ";"EGE-DKOS-38-NPT-1 1/2'' ";"180,1 ";"S ";"9457 "
