"    DN";"    LW";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  L10";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"4 ";"5,0 ";"100 ";"G 1/8'' ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"9 ";"69 ";"35 ";"26,0 ";"M 5 ";"22 ";"9 ";"BK3-G-1/8''-4445-T ";"";"";"10190 "
"6 ";"6,0 ";"100 ";"G 1/4'' ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"12 ";"69 ";"35 ";"26,0 ";"M 5 ";"22 ";"9 ";"BK3-G-1/4''-4445-T ";"";"";"10191 "
"10 ";"9,0 ";"100 ";"G 3/8'' ";"45 ";"51,5 ";"40 ";"8,0 ";"18,0 ";"12 ";"73 ";"42 ";"28,0 ";"M 5 ";"27 ";"9 ";"BK3-G-3/8''-4445-T ";"";"";"10192 "
"13 ";"11,5 ";"100 ";"G 1/2'' ";"50 ";"56,0 ";"40 ";"8,0 ";"17,0 ";"14 ";"85 ";"47 ";"32,0 ";"M 5 ";"30 ";"9 ";"BK3-G-1/2''-4445-T ";"";"";"10193 "
"20 ";"18,0 ";"100 ";"G 3/4'' ";"65 ";"73,5 ";"57 ";"12,0 ";"24,5 ";"17 ";"96 ";"61 ";"40,5 ";"M 6 ";"41 ";"14 ";"BK3-G-3/4''-4445-T ";"";"";"10194 "
"25 ";"22,0 ";"100 ";"G 1'' ";"80 ";"81,5 ";"65 ";"12,0 ";"30,0 ";"19 ";"113 ";"63 ";"51,0 ";"M 6 ";"46 ";"14 ";"BK3-G-1''-4445-T ";"";"";"10195 "
"32 ";"30,0 ";"100 ";"G 1 1/4'' ";"100 ";"99,0 ";"80 ";"13,5 ";"38,0 ";"20 ";"110 ";"78 ";"62,0 ";"M 8 ";"60 ";"17 ";"BK3-G-1 1/4''-4445-T ";"";"";"10196 "
"40 ";"35,0 ";"100 ";"G 1 1/2'' ";"105 ";"109,0 ";"90 ";"13,5 ";"42,0 ";"24 ";"120 ";"85 ";"65,0 ";"M 8 ";"70 ";"17 ";"BK3-G-1 1/2''-4445-T ";"";"";"10197 "
"50 ";"44,0 ";"100 ";"G 2'' ";"120 ";"139,0 ";"120 ";"13,5 ";"62,0 ";"28 ";"140 ";"100 ";"72,0 ";"M 8 ";"85 ";"17 ";"BK3-G-2''-4445-T ";"";"";"10198 "
