"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"6 ";"G 1/8'' ";"13,0 ";"28,0 ";"8 ";"14 ";"GE-SR-06-G 1/8''-wd-OMD ";"8,05 ";"S ";"4000 "
"800 ";"6 ";"G 1/4'' ";"13,0 ";"32,0 ";"12 ";"19 ";"GE-SR-06-G 1/4''-wd-OMD ";"8,05 ";"S ";"4001 "
"800 ";"6 ";"G 3/8'' ";"15,5 ";"34,5 ";"12 ";"22 ";"GE-SR-06-G 3/8''-wd-OMD ";"10,3 ";"S ";"4002 "
"630 ";"6 ";"G 1/2'' ";"17,0 ";"38,0 ";"14 ";"27 ";"GE-SR-06-G 1/2''-wd-OMD ";"14,44 ";"S ";"4003 "
"800 ";"8 ";"G 1/8'' ";"14,0 ";"29,0 ";"8 ";"17 ";"GE-SR-08-G 1/8''-wd-OMD ";"9,28 ";"S ";"4004 "
"800 ";"8 ";"G 1/4'' ";"15,0 ";"34,0 ";"12 ";"19 ";"GE-SR-08-G 1/4''-wd-OMD ";"7,33 ";"S ";"4005 "
"800 ";"8 ";"G 3/8'' ";"15,5 ";"34,5 ";"12 ";"22 ";"GE-SR-08-G 3/8''-wd-OMD ";"8,64 ";"S ";"4006 "
"630 ";"8 ";"G 1/2'' ";"15,0 ";"36,0 ";"14 ";"27 ";"GE-SR-08-G 1/2''-wd-OMD ";"14,18 ";"S ";"4007 "
"800 ";"10 ";"G 1/8'' ";"13,5 ";"29,0 ";"8 ";"19 ";"GE-SR-10-G 1/8''-wd-OMD ";"11,14 ";"S ";"4008 "
"800 ";"10 ";"G 1/4'' ";"14,5 ";"34,0 ";"12 ";"19 ";"GE-SR-10-G 1/4''-wd-OMD ";"9,35 ";"S ";"4009 "
"800 ";"10 ";"G 3/8'' ";"15,0 ";"34,5 ";"12 ";"22 ";"GE-SR-10-G 3/8''-wd-OMD ";"9,05 ";"S ";"4010 "
"630 ";"10 ";"G 1/2'' ";"13,5 ";"35,0 ";"14 ";"27 ";"GE-SR-10-G 1/2''-wd-OMD ";"13,9 ";"S ";"4011 "
"420 ";"10 ";"G 3/4'' ";"17,5 ";"41,0 ";"16 ";"32 ";"GE-SR-10-G 3/4''-wd-OMD ";"24,95 ";"S ";"4012 "
"630 ";"12 ";"G 1/4'' ";"16,5 ";"36,0 ";"12 ";"22 ";"GE-SR-12-G 1/4''-wd-OMD ";"10,45 ";"S ";"4013 "
