"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 14 x 1,5 ";"6 ";"";"";"3,0 ";"17 ";"4 x 1,5 ";"DKOS-06-45∞-DN 05 ";"";"";"166 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"37,0 ";"15,0 ";"4,0 ";"17 ";"5 x 1,0 ";"DKOS-06-45∞-DN 06 ";"23,1 ";"";"167 "
"05 ";"3/16'' ";"M 16 x 1,5 ";"8 ";"37,0 ";"16,5 ";"3,0 ";"19 ";"6 x 1,5 ";"DKOS-08-45∞-DN 05 ";"27,5 ";"";"168 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"38,5 ";"16,5 ";"4,0 ";"19 ";"6 x 1,5 ";"DKOS-08-45∞-DN 06 ";"22,8 ";"";"169 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"8 ";"48,0 ";"23,0 ";"4,0 ";"19 ";"6 x 1,5 ";"DKOS-08-45∞-DN 08 ";"25,5 ";"";"170 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"38,5 ";"16,5 ";"4,0 ";"22 ";"8 x 1,5 ";"DKOS-10-45∞-DN 06 ";"22,8 ";"";"171 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"10 ";"44,5 ";"19,0 ";"5,5 ";"22 ";"8 x 1,5 ";"DKOS-10-45∞-DN 08 ";"24,5 ";"";"172 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"10 ";"45,5 ";"20,0 ";"7,0 ";"22 ";"8 x 1,5 ";"DKOS-10-45∞-DN 10 ";"25,5 ";"";"173 "
"06 ";"1/4'' ";"M 20 x 1,5 ";"12 ";"42,0 ";"19,5 ";"4,0 ";"24 ";"10 x 1,5 ";"DKOS-12-45∞-DN 06 ";"27,9 ";"";"174 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"44,5 ";"19,0 ";"5,5 ";"24 ";"10 x 1,5 ";"DKOS-12-45∞-DN 08 ";"23 ";"";"175 "
"10 ";"3/8'' ";"M 20 x 1,5 ";"12 ";"43,5 ";"18,5 ";"7,0 ";"24 ";"10 x 1,5 ";"DKOS-12-45∞-DN 10 ";"23 ";"";"176 "
"12 ";"1/2'' ";"M 20 x 1,5 ";"12 ";"62,5 ";"27,5 ";"8,5 ";"24 ";"10 x 1,5 ";"DKOS-12-45∞-DN 12 ";"28,5 ";"";"177 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"54,5 ";"23,5 ";"7,0 ";"27 ";"10 x 2,0 ";"DKOS-14-45∞-DN 10 ";"28 ";"";"178 "
"10 ";"3/8'' ";"M 24 x 1,5 ";"16 ";"55,5 ";"24,0 ";"7,0 ";"30 ";"13 x 2,0 ";"DKOS-16-45∞-DN 10 ";"29,9 ";"";"179 "
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"57,0 ";"25,0 ";"9,5 ";"30 ";"13 x 2,0 ";"DKOS-16-45∞-DN 12 ";"26 ";"";"180 "
"12 ";"1/2'' ";"M 30 x 2 ";"20 ";"65,0 ";"32,0 ";"9,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-45∞-DN 12 ";"40 ";"";"181 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"69,0 ";"28,0 ";"12,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-45∞-DN 16 ";"34,5 ";"";"182 "
"19 ";"3/4'' ";"M 30 x 2 ";"20 ";"71,5 ";"27,0 ";"12,5 ";"36 ";"16,3 x 2,4 ";"DKOS-20-45∞-DN 19 ";"48 ";"";"183 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"83,0 ";"37,0 ";"14,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-45∞-DN 19 ";"54,5 ";"";"184 "
"25 ";"1'' ";"M 36 x 2 ";"25 ";"98,0 ";"39,0 ";"18,5 ";"46 ";"21,3 x 2,4 ";"DKOS-25-45∞-DN 25 ";"59,9 ";"";"185 "
"19 ";"3/4'' ";"M 42 x 2 ";"30 ";"89,5 ";"40,0 ";"14,5 ";"50 ";"25,3 x2,4 ";"DKOS-30-45∞-DN 19 ";"86,5 ";"";"186 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"98,0 ";"39,5 ";"20,0 ";"50 ";"25,3 x2,4 ";"DKOS-30-45∞-DN 25 ";"75 ";"";"187 "
"25 ";"1'' ";"M 52 x 2 ";"38 ";"";"";"";"60 ";"35 x 2,5 ";"DKOS-38-45∞-DN 25 ";"140 ";"";"188 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"38 ";"116,0 ";"47,0 ";"25,0 ";"60 ";"35 x 2,5 ";"DKOS-38-45∞-DN 31 ";"112 ";"";"189 "
"38 ";"1 1/2'' ";"M 68 x 2 ";"50 ";"137,0 ";"53,0 ";"31,0 ";"80 ";"46 x 3,0 ";"DKOS-50-45∞-DN 38 ";"299 ";"";"190 "
