"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"6 ";"26,5 ";"3,0 ";"20,0 ";"BEL-06-DN 05 ";"7,5 ";"";"309 "
"06 ";"1/4'' ";"6 ";"28,5 ";"4,0 ";"20,0 ";"BEL-06-DN 06 ";"6,9 ";"";"311 "
"05 ";"3/16'' ";"8 ";"28,5 ";"3,0 ";"22,0 ";"BEL-08-DN 05 ";"7,6 ";"";"310 "
"06 ";"1/4'' ";"8 ";"31,0 ";"4,0 ";"22,0 ";"BEL-08-DN 06 ";"6,5 ";"";"312 "
"08 ";"5/16'' ";"8 ";"31,0 ";"5,0 ";"23,0 ";"BEL-08-DN 08 ";"7,5 ";"";"313 "
"08 ";"5/16'' ";"10 ";"31,5 ";"5,5 ";"23,0 ";"BEL-10-DN 08 ";"6,9 ";"";"314 "
"10 ";"3/8'' ";"10 ";"34,0 ";"7,0 ";"25,0 ";"BEL-10-DN 10 ";"7 ";"";"315 "
"10 ";"3/8'' ";"12 ";"34,0 ";"7,0 ";"25,0 ";"BEL-12-DN 10 ";"7 ";"";"316 "
"12 ";"1/2'' ";"12 ";"33,0 ";"9,0 ";"26,0 ";"BEL-12-DN 12 ";"9,1 ";"";"317 "
"10 ";"3/8'' ";"15 ";"32,5 ";"7,0 ";"25,0 ";"BEL-15-DN 10 ";"11,5 ";"";"318 "
"12 ";"1/2'' ";"15 ";"33,0 ";"9,5 ";"25,0 ";"BEL-15-DN 12 ";"8,9 ";"";"319 "
"12 ";"1/2'' ";"18 ";"32,5 ";"9,5 ";"27,0 ";"BEL-18-DN 12 ";"11,9 ";"";"320 "
"16 ";"5/8'' ";"18 ";"35,5 ";"12,5 ";"27,0 ";"BEL-18-DN 16 ";"9,5 ";"";"321 "
"16 ";"5/8'' ";"22 ";"36,5 ";"12,5 ";"27,0 ";"BEL-22-DN 16 ";"13,5 ";"";"322 "
"19 ";"3/4'' ";"22 ";"38,0 ";"14,5 ";"27,0 ";"BEL-22-DN 19 ";"11,8 ";"";"323 "
"25 ";"1'' ";"28 ";"41,5 ";"20,0 ";"30,0 ";"BEL-28-DN 25 ";"15,9 ";"";"324 "
"31 ";"1 1/4'' ";"35 ";"47,0 ";"25,5 ";"36,0 ";"BEL-35-DN 31 ";"26 ";"";"325 "
"38 ";"1 1/2'' ";"42 ";"47,0 ";"31,5 ";"36,0 ";"BEL-42-DN 38 ";"32 ";"";"326 "
