"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"M 10 x 1 ";"43 ";"28,0 ";"8 ";"17 ";"17 ";"14 ";"RV-L-06-M 10x1-wd-SC ";"54,01 ";"L ";"7630 "
"250 ";"8 ";"M 12 x 1,5 ";"44 ";"29,0 ";"12 ";"17 ";"19 ";"17 ";"RV-L-08-M 12x1,5-wd-SC ";"59,24 ";"L ";"7631 "
"250 ";"10 ";"M 14 x 1,5 ";"53 ";"38,5 ";"12 ";"22 ";"24 ";"19 ";"RV-L-10-M 14x1,5-wd-SC ";"69,47 ";"L ";"7632 "
"250 ";"12 ";"M 16 x 1,5 ";"57 ";"42,5 ";"12 ";"27 ";"30 ";"22 ";"RV-L-12-M 16x1,5-wd-SC ";"82,37 ";"L ";"7633 "
"250 ";"15 ";"M 18 x 1,5 ";"61 ";"45,5 ";"12 ";"27 ";"30 ";"27 ";"RV-L-15-M 18x1,5-wd-SC ";"93,11 ";"L ";"7634 "
"160 ";"18 ";"M 22 x 1,5 ";"66 ";"50,0 ";"14 ";"36 ";"36 ";"32 ";"RV-L-18-M 22x1,5-wd-SC ";"121,8 ";"L ";"7635 "
"160 ";"22 ";"M 26 x 1,5 ";"71 ";"55,0 ";"16 ";"41 ";"46 ";"36 ";"RV-L-22-M 26x1,5-wd-SC ";"173,56 ";"L ";"7636 "
"100 ";"28 ";"M 33 x 2 ";"80 ";"63,0 ";"18 ";"50 ";"55 ";"41 ";"RV-L-28-M 33x2-wd-SC ";"234,64 ";"L ";"7637 "
"100 ";"35 ";"M 42 x 2 ";"91 ";"69,0 ";"20 ";"60 ";"60 ";"50 ";"RV-L-35-M 42x2-wd-SC ";"338,62 ";"L ";"7638 "
"100 ";"42 ";"M 48 x 2 ";"104 ";"71,5 ";"22 ";"65 ";"70 ";"60 ";"RV-L-42-M 48x2-wd-SC ";"477,27 ";"L ";"7639 "
"630 ";"6 ";"M 12 x 1,5 ";"46 ";"31,5 ";"12 ";"19 ";"19 ";"17 ";"RV-S-06-M 12x1,5-wd-SC ";"59,24 ";"S ";"7640 "
"630 ";"8 ";"M 14 x 1,5 ";"46 ";"31,5 ";"12 ";"19 ";"22 ";"19 ";"RV-S-08-M 14x1,5-wd-SC ";"61,8 ";"S ";"7641 "
"630 ";"10 ";"M 16 x 1,5 ";"54 ";"38,0 ";"12 ";"24 ";"27 ";"22 ";"RV-S-10-M 16x1,5-wd-SC ";"72,14 ";"S ";"7642 "
"630 ";"12 ";"M 18 x 1,5 ";"57 ";"41,0 ";"12 ";"27 ";"30 ";"24 ";"RV-S-12-M 18x1,5-wd-SC ";"77,53 ";"S ";"7643 "
"630 ";"14 ";"M 20 x 1,5 ";"62 ";"44,5 ";"14 ";"27 ";"32 ";"27 ";"RV-S-14-M 20x1,5-wd-SC ";"88,48 ";"S ";"7644 "
"400 ";"16 ";"M 22 x 1,5 ";"66 ";"48,0 ";"14 ";"32 ";"36 ";"30 ";"RV-S-16-M 22x1,5-wd-SC ";"106,38 ";"S ";"7645 "
"400 ";"20 ";"M 27 x 2 ";"74 ";"52,0 ";"16 ";"41 ";"46 ";"36 ";"RV-S-20-M 27x2-wd-SC ";"168,05 ";"S ";"7646 "
"400 ";"25 ";"M 33 x 2 ";"79 ";"54,5 ";"18 ";"46 ";"50 ";"46 ";"RV-S-25-M 33x2-wd-SC ";"215,19 ";"S ";"7647 "
"250 ";"30 ";"M 42 x 2 ";"91 ";"64,0 ";"20 ";"55 ";"60 ";"50 ";"RV-S-30-M 42x2-wd-SC ";"310,94 ";"S ";"7648 "
"250 ";"38 ";"M 48 x 2 ";"100 ";"69,5 ";"22 ";"65 ";"70 ";"60 ";"RV-S-38-M 48x2-wd-SC ";"419,79 ";"S ";"7649 "
