"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/8''-28 ";"34,0 ";"14,0 ";"4,0 ";"14 ";"DRF-1/8''-45∞-DN 06 ";"24,4 ";"";"11667 "
"06 ";"1/4'' ";"1/4''-19 ";"35,5 ";"12,5 ";"4,0 ";"17 ";"DRF-1/4''-45∞-DN 06 ";"21,7 ";"";"11668 "
"08 ";"5/16'' ";"1/4''-19 ";"";"";"5,5 ";"19 ";"DRF-1/4''-45∞-DN 08 ";"35 ";"";"11669 "
"06 ";"1/4'' ";"3/8''-19 ";"";"";"4,0 ";"19 ";"DRF-3/8''-45∞-DN 06 ";"";"";"12297 "
"08 ";"5/16'' ";"3/8''-19 ";"";"";"5,5 ";"19 ";"DRF-3/8''-45∞-DN 08 ";"";"";"11670 "
"10 ";"3/8'' ";"3/8''-19 ";"40,0 ";"15,0 ";"7,0 ";"19 ";"DRF-3/8''-45∞-DN 10 ";"24,9 ";"";"11671 "
"10 ";"3/8'' ";"1/2''-14 ";"49,0 ";"21,0 ";"7,0 ";"27 ";"DRF-1/2''-45∞-DN 10 ";"29,45 ";"";"11672 "
"12 ";"1/2'' ";"1/2''-14 ";"52,0 ";"20,5 ";"9,5 ";"27 ";"DRF-1/2''-45∞-DN 12 ";"29,45 ";"";"11673 "
"12 ";"1/2'' ";"5/8''-14 ";"";"";"9,5 ";"27 ";"DRF-5/8''-45∞-DN 12 ";"43,9 ";"";"11674 "
"16 ";"5/8'' ";"5/8''-14 ";"";"";"12,0 ";"27 ";"DRF-5/8''-45∞-DN 16 ";"43,9 ";"";"11675 "
"12 ";"1/2'' ";"3/4''-14 ";"54,5 ";"22,0 ";"9,5 ";"32 ";"DRF-3/4''-45∞-DN 12 ";"49,83 ";"";"11676 "
"16 ";"5/8'' ";"3/4''-14 ";"";"";"9,5 ";"32 ";"DRF-3/4''-45∞-DN 16 ";"46,8 ";"";"11677 "
"19 ";"3/4'' ";"3/4''-14 ";"64,5 ";"27,5 ";"14,5 ";"32 ";"DRF-3/4''-45∞-DN 19 ";"40,7 ";"";"11678 "
"19 ";"3/4'' ";"1''-11 ";"";"";"14,5 ";"41 ";"DRF-1''-45∞-DN 19 ";"65 ";"";"11679 "
"25 ";"1'' ";"1''-11 ";"91,0 ";"31,5 ";"20,0 ";"41 ";"DRF-1''-45∞-DN 25 ";"57,6 ";"";"11680 "
"25 ";"1'' ";"1 1/4''-11 ";"";"";"20,0 ";"50 ";"DRF-1 1/4''-45∞-DN 25 ";"135,2 ";"";"11681 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"97,0 ";"34,0 ";"25,0 ";"50 ";"DRF-1 1/4''-45∞-DN 31 ";"102,57 ";"";"11682 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"";"";"25,0 ";"55 ";"DRF-1 1/2''-45∞-DN 31 ";"175,5 ";"";"11683 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"115,0 ";"47,0 ";"31,0 ";"55 ";"DRF-1 1/2''-45∞-DN 38 ";"126,1 ";"";"11684 "
"51 ";"2'' ";"2''-11 ";"142,0 ";"59,0 ";"40,0 ";"70 ";"DRF-2''-45∞-DN 51 ";"245 ";"";"11685 "
