"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"M 16 x 1,5 ";"42 ";"27,0 ";"14 ";"19 ";"17 ";"RED-DKOS-08/06 ";"23,01 ";"S ";"9225 "
"800 ";"10 ";"6 ";"M 18 x 1,5 ";"42 ";"27,5 ";"17 ";"22 ";"17 ";"RED-DKOS-10/06 ";"23,62 ";"S ";"9226 "
"800 ";"10 ";"8 ";"M 18 x 1,5 ";"42 ";"27,5 ";"17 ";"22 ";"19 ";"RED-DKOS-10/08 ";"24,03 ";"S ";"9227 "
"630 ";"12 ";"6 ";"M 20 x 1,5 ";"44 ";"29,0 ";"17 ";"24 ";"17 ";"RED-DKOS-12/06 ";"25,31 ";"S ";"9228 "
"630 ";"12 ";"8 ";"M 20 x 1,5 ";"44 ";"29,0 ";"17 ";"24 ";"19 ";"RED-DKOS-12/08 ";"26,59 ";"S ";"9229 "
"630 ";"12 ";"10 ";"M 20 x 1,5 ";"46 ";"29,5 ";"19 ";"24 ";"22 ";"RED-DKOS-12/10 ";"28,12 ";"S ";"9230 "
"630 ";"14 ";"6 ";"M 22 x 1,5 ";"46 ";"31,5 ";"19 ";"27 ";"17 ";"RED-DKOS-14/06 ";"26,74 ";"S ";"9231 "
"630 ";"14 ";"8 ";"M 22 x 1,5 ";"46 ";"31,5 ";"19 ";"27 ";"19 ";"RED-DKOS-14/08 ";"28,02 ";"S ";"9232 "
"630 ";"14 ";"10 ";"M 22 x 1,5 ";"47 ";"31,0 ";"19 ";"27 ";"22 ";"RED-DKOS-14/10 ";"28,12 ";"S ";"9233 "
"630 ";"14 ";"12 ";"M 22 x 1,5 ";"47 ";"31,0 ";"22 ";"27 ";"24 ";"RED-DKOS-14/12 ";"33,69 ";"S ";"9234 "
"630 ";"16 ";"6 ";"M 24 x 1,5 ";"47 ";"32,0 ";"22 ";"30 ";"17 ";"RED-DKOS-16/06 ";"33,75 ";"S ";"9235 "
"630 ";"16 ";"8 ";"M 24 x 1,5 ";"47 ";"32,0 ";"22 ";"30 ";"19 ";"RED-DKOS-16/08 ";"34,31 ";"S ";"9236 "
"630 ";"16 ";"10 ";"M 24 x 1,5 ";"48 ";"31,5 ";"22 ";"30 ";"22 ";"RED-DKOS-16/10 ";"35,79 ";"S ";"9237 "
"630 ";"16 ";"12 ";"M 24 x 1,5 ";"48 ";"31,5 ";"22 ";"30 ";"24 ";"RED-DKOS-16/12 ";"35,79 ";"S ";"9238 "
"630 ";"16 ";"14 ";"M 24 x 1,5 ";"51 ";"33,0 ";"22 ";"30 ";"27 ";"RED-DKOS-16/14 ";"36,81 ";"S ";"9239 "
"420 ";"20 ";"6 ";"M 30 x 2 ";"51 ";"36,0 ";"27 ";"36 ";"17 ";"RED-DKOS-20/06 ";"37,27 ";"S ";"9240 "
"420 ";"20 ";"8 ";"M 30 x 2 ";"51 ";"36,0 ";"27 ";"36 ";"19 ";"RED-DKOS-20/08 ";"38,4 ";"S ";"9241 "
"420 ";"20 ";"10 ";"M 30 x 2 ";"52 ";"35,5 ";"27 ";"36 ";"22 ";"RED-DKOS-20/10 ";"42,03 ";"S ";"9242 "
"420 ";"20 ";"12 ";"M 30 x 2 ";"52 ";"35,5 ";"27 ";"36 ";"24 ";"RED-DKOS-20/12 ";"42,8 ";"S ";"9243 "
"420 ";"20 ";"14 ";"M 30 x 2 ";"55 ";"37,0 ";"27 ";"36 ";"27 ";"RED-DKOS-20/14 ";"47,04 ";"S ";"9244 "
"420 ";"20 ";"16 ";"M 30 x 2 ";"55 ";"36,5 ";"27 ";"36 ";"30 ";"RED-DKOS-20/16 ";"51,64 ";"S ";"9245 "
